file,ACI,ADI,AEI,BIO,NDSI,RUGOSITY,MEAN_PSD,SPL,SNR,H,Hf,Ht,M,RMS,ROUGHNESS,NPEAKS,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,AR,label
LEEC02__0__20161129_054600_ma_c0_v0.wav,226.696223188138,0.856028,0.25996,4.39307239519504,0.775040437929049,0.0159193822610778,1.32996081022562e-10,-98.7616115614082,0.273847068368436,0.604431634536554,0.605339086667452,0.998500919317974,8.34384533290485e-12,0.0187313801410465,0.243776903385954,136,-72.4994375224788,-4.1920305398279,-9.91502685509845,3.86586494937678,5.41428962766329,-2.9477206875303,2.48556050447126,6.99354438423952,2.26155630687232,3.87073879155001,7.3917894875178,4.35202614541119,0.4465567650821,vire_chiv
LEEC02__0__20161129_054600_ma_c1_v0.wav,228.078746306799,0.887111,0.24889,4.09322932101637,0.616902065891357,0.0057629685965527,1.82478342425801e-10,-97.3878867270399,0.243678340268316,0.621891742484052,0.622965069733503,0.99827706672236,8.31326717563803e-12,0.0188113646439736,0.244378748626828,131,-71.7561691361577,-4.21612406156119,-10.6873081151328,3.2773806147601,5.27781903785632,-1.19541238181573,3.27866555997932,5.51064594082938,1.18709069924488,4.54381449471543,8.32993180215707,4.19632873693397,0.37445760565954,basi_culi
LEEC02__0__20161129_054600_ma_c1_v1.wav,228.078746491643,0.887111,0.24889,4.09322938065744,0.616902066403091,0.00576296864461445,1.72667781189862e-10,-97.6278869171355,0.243678346589686,0.621891742682973,0.622965069932083,0.998277066723456,8.08670747145243e-12,0.0182987024092761,0.244378748750855,131,-72.1056772122602,-4.21612405426245,-10.6873081408486,3.27738058866186,5.27781900479135,-1.1954123776233,3.27866557790751,5.51064589434164,1.18709078178069,4.54381441750606,8.32993191063297,4.19632870093932,0.345893744398326,basi_culi
LEEC02__0__20161129_072900_ma_c0_v0.wav,222.227591812582,0.697125,0.340025,3.47838958757371,0.812377526454518,0.0151029741452121,4.79264749555177e-11,-103.194245126662,0.219039373602624,0.501124369645623,0.501686457156978,0.998879603977071,8.19630819416887e-12,0.0185597227501203,0.244458735316109,122,-78.433911112524,-4.48953010556046,-3.88226105901731,3.7952455147011,5.07917059383101,-4.07737463747198,5.56306154667709,7.87033755600972,0.0773771991826367,4.54796731662266,9.12972045989814,2.79637509672459,0.617900274971502,vire_chiv
LEEC02__0__20161129_072900_ma_c1_v0.wav,232.539358017927,0.6938985,0.3466845,5.42990559590751,0.999462778995105,0.0395233549152258,4.47004614563642e-08,-73.4968799349182,0.108385177315545,0.58052571179952,0.607487001758194,0.955618326185345,9.03336192288361e-12,0.0611348378003588,0.332786576540982,113,-74.2462151259204,-6.41224559022729,-5.5904058183708,9.78392206273379,1.14617403409115,-6.61946644667366,11.3029736773418,4.6046420480984,-3.63232070606436,9.63596189719918,6.87840592077271,0.765017322975024,0.00029028637063722,myio_leuc
LEEC02__0__20161129_072900_ma_c2_v0.wav,219.850012960762,0.4163485,0.406151,6.46664139403359,0.999468763003335,0.0392456471001245,3.64120252633965e-08,-74.3875516461848,0.148496567001511,0.573719562235528,0.593761478248322,0.966245846611807,8.90831689946364e-12,0.0545145478064051,0.265572850642555,123,-75.5197223767567,-4.55806942670687,-6.1057610454922,6.66784003611184,6.8969715287406,-8.25103376205507,5.67033279272845,11.743004667018,-3.35880158744181,1.0860138519191,12.8380840412386,2.42486731126858,0.000434450622601613,myio_leuc
LEEC02__0__20161129_080100_ma_c0_v0.wav,221.437722376898,0.710346,0.3362665,3.54345328629299,0.728624289010719,0.0359797760348954,5.5518352358023e-11,-102.555634311057,0.261607450729914,0.597614802596125,0.598294559131535,0.998863843026758,8.27307626472167e-12,0.0186799989176311,0.245077883110379,127,-76.7225046439155,-7.1745761012366,0.343648715198895,-0.807805146405863,9.10189327022701,-7.21968889710068,9.05786328654371,4.20565298248397,2.65422129643135,3.6502042992339,8.70675148561801,2.3678471353548,0.61806501857798,vire_chiv
LEEC02__0__20161129_080100_ma_c1_v0.wav,220.139948796118,0.79109,0.3118405,4.02377793949835,0.841963105443005,0.0404206234099782,8.35949884113613e-11,-100.778197580937,0.239660666172615,0.619025809898183,0.619809519911047,0.998735563124334,8.27151568749805e-12,0.0186689055879151,0.245012041274782,130,-75.7705210913294,-7.67176756849784,-0.00122496024505945,0.585943954893416,7.48780293825133,-8.43102970187239,11.6580793184516,3.26798036274395,1.49679163248705,5.23283476157504,7.3597595090565,2.2317165228939,0.527880021928107,myio_leuc
LEEC02__0__20161129_080100_ma_c1_v1.wav,220.139947775593,0.79109,0.3118405,4.02377784557832,0.841963106099559,0.0404206224689452,7.91006812034232e-11,-101.018197764061,0.239660671111813,0.61902580948815,0.619809519499976,0.998735563125171,8.04609381693583e-12,0.0181601257652445,0.245012041365596,130,-76.120029174774,-7.67176755146755,-0.0012249254092299,0.585943966638264,7.48780294479746,-8.43102975427692,11.6580793724632,3.26798036070652,1.49679157895446,5.23283478862815,7.3597594283487,2.23171648044123,0.485495927637246,myio_leuc
LEEC02__0__20161129_080100_ma_c2_v0.wav,222.073803555869,0.769711,0.3166345,5.11184603940988,0.945439325212167,0.0377231758188931,2.53758554296383e-10,-95.955793086015,0.199285292023115,0.637387269520053,0.638676468620668,0.99798145201216,8.39260994761707e-12,0.01897913583371,0.245438216450395,126,-74.8847234300757,-7.42648885914114,-1.64491245940575,0.563359681394776,8.43530550070889,-11.4617370897725,11.9640398480281,8.31421171040986,-0.230813174779094,3.06836120200766,10.3974198130592,0.101108882189648,0.324417382375719,myio_leuc
LEEC02__0__20161129_080100_ma_c2_v1.wav,222.073802240534,0.769711,0.3166345,5.11184594670855,0.945439325021329,0.0377231760596362,2.40115765655349e-10,-96.1957932385661,0.199285291411324,0.63738726961103,0.638676468711289,0.997981452013004,8.16388803068761e-12,0.0184619013671633,0.245438216469489,126,-75.2342314806348,-7.42648885134715,-1.64491248718509,0.563359648449227,8.43530548206896,-11.4617370550478,11.964039879957,8.31421164225901,-0.230813236893648,3.06836127717005,10.3974198505082,0.101108944861043,0.304072166966873,myio_leuc
LEEC02__0__20161129_080100_ma_c3_v0.wav,221.172346874191,0.7455435,0.3224675,3.61452531297534,0.654106370634941,0.0348783216818646,7.9949590024636e-11,-100.971837589408,0.20995688773302,0.609663786272559,0.610424469941559,0.998753844731892,8.26954239274543e-12,0.0186570598852889,0.245052870328902,122,-75.4093723593829,-6.54861247629682,-0.924615805504583,-2.02981111263619,7.64429641031348,-8.47187588721812,10.1871967703225,7.0342972097749,2.80842869947914,2.63384890150099,8.45577883140609,1.95796367403976,0.541947946850445,myio_leuc
LEEC02__0__20161129_080100_ma_c3_v1.wav,221.172347283614,0.7455435,0.3224675,3.61452543529526,0.654106371377697,0.0348783224489291,7.56512718893097e-11,-101.211837659902,0.209956872711085,0.609663786190009,0.610424469857856,0.998753844733609,8.04417406472572e-12,0.0181486028922137,0.245052870578614,122,-75.7588804391338,-6.54861249499084,-0.92461581269025,-2.02981111285768,7.64429640502015,-8.47187589426129,10.1871967685676,7.03429728178314,2.80842873520832,2.63384884510316,8.45577887672292,1.95796375962583,0.498416238111398,myio_leuc
LEEC02__0__20161130_063100_ma_c0_v0.wav,221.724777513454,0.5564695,0.381394,2.19361351829456,0.437885627708548,0.0126818148194665,2.32912439807737e-11,-106.328073152627,0.210098661148056,0.459528431831865,0.459988923246208,0.998998907601746,8.16503625964097e-12,0.0185935503223988,0.244453958591351,130,-80.0698945513845,-3.45701549883046,-1.65036151094004,0.86260806771067,4.18113987224814,0.123798340419492,2.75778308112335,5.73462586647784,4.8577171843703,2.10755663887572,5.72030551789892,7.99159285180726,0.725535280758086,vire_chiv
LEEC02__0__20161202_050100_ma_c0_v0.wav,221.916544433479,0.7459715,0.324429,3.15026870073194,0.798695550070627,0.0664892538016034,1.36495435401928e-10,-98.6488187179466,0.283158759480644,0.690052516907601,0.691097758709714,0.99848756302717,8.36049420796856e-12,0.0188014021527372,0.245450521157308,130,-74.9684045649236,-9.05498695257866,2.72168143969717,-4.42837063466196,12.4016983422644,-7.19994889365985,5.61255746773937,5.39443242433029,5.92773962017296,0.0489653454117507,6.12942748726175,10.2744742615804,0.443252168881231,vire_chiv
