file,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,label
LEEC02__0__20161129_054600_ma_c0_v0.png,0,1.1870553,0.45955178,0.69962317,0.22617128,1.1748638,0.93912685,0,0,1.1516944,0,0.75595057,0,0,1.7403864,0.8428122,0.70489335,0.18516776,0.7201908,0.8450963,0.7761501,2.7959313,0.22602539,0.3896788,0,0.66643023,1.1622592,0.25804508,0.19107631,0,0.7030317,0.08663602,0,0.92623514,0.04345437,0.7868752,0.82224405,1.946063,0.38255784,0,0.9254324,0.35508052,0.3446958,0.8393103,0,0.2395156,0.36450794,0,0.32306314,0,0,0,0.70925653,1.1674464,0.5857129,0.7885685,0,0,0.36347967,0.3542184,0.31352946,0.5373335,0,0.3826499,0.7203968,0.5427296,0,0.3341417,0,0.17329146,0,1.4006186,0.44110337,0,0.37370488,0,0.43161938,0,0,0.6224942,0.2502555,1.2261356,0,0.4816431,0,0.043830246,0,0.97523075,0,0.83038735,0.5774757,0.23628424,0.25227395,0.4839373,0,1.2862712,0,0.47747928,0.17635249,0,0.047050193,0,0,0,0,1.6978712,0,0,0.7888783,0.7698016,0,0.3660077,0,2.2260442,0,0,0,0.83185834,0.1367887,0.34513694,0,0.35122055,0,0,0,0,0.77449554,0,vire_chiv
LEEC02__0__20161129_072900_ma_c0_v0.png,0,1.6730362,0.74410313,0.2716072,0,2.0650976,0.9697209,0.041038953,0,0.8770342,0,0.6733833,0,0,2.1182601,1.0283121,0.33691216,0.25104526,1.2729058,1.2900246,0.5227173,2.658904,0.27096197,0.32074532,0,1.0853934,1.9087619,0.07052766,0,0,0.81278807,0,0,1.3830917,0,1.2935703,0.6610847,1.518802,0.7184533,0,1.0073643,0.60524064,0.3345557,0.5573131,0,0,0,0,0.40255004,0,0,0,1.0690794,1.9269495,0.9528057,1.4297427,0,0,0,0.06944665,0.61402446,0.98812914,0,0.6417932,1.0894666,0,0,0,0,0.40584946,0,1.3831694,0.71335524,0,0.31941321,0,0.052252516,0,0,1.0949919,0,1.7702986,0,0.31087705,0,0,0.14778294,1.268984,0,1.3767426,1.1146114,0.41548663,0,0.7008407,0,1.4005396,0.2196176,0.57525575,0,0,0,0,0,0,0.23772532,1.7847154,0,0,1.0977241,1.1215513,0,0.6288265,0,2.0762177,0.16405493,0,0,0.79079485,0.045651723,0,0,0.64198136,0,0,0,0,0.21143137,0,vire_chiv
LEEC02__0__20161129_080100_ma_c0_v0.png,0,1.8249756,0.71623623,0.055627443,0,2.4172812,0.87801635,0.25233826,0,0.56253326,0,0.5705992,0,0,2.12068,1.1725413,0.052522346,0.30719328,1.597018,1.65159,0.3339066,2.5170467,0.34885153,0.36703223,0.060051084,1.3576424,2.0065756,0,0,0,0.94654965,0.044308614,0,1.4410943,0,1.4002523,0.45790696,1.1527051,0.69934344,0,1.089877,0.80481946,0.36068314,0.44303656,0,0,0,0,0.5372729,0,0,0,1.2210598,2.1087482,0.8435624,1.6999867,0,0,0,0,0.7425514,1.4356298,0,0.7374591,1.2537564,0,0,0,0,0.4778982,0,1.1521307,0.8918061,0,0.2549778,0,0,0,0,1.1597682,0,1.726008,0,0.24798563,0,0,0.45795533,1.2966679,0,1.5327419,1.3908129,0.43364722,0,0.63003516,0,1.4152883,0.3492621,0.44695774,0,0.109171174,0,0,0,0,0.5724895,1.8664758,0,0,1.0935196,1.1317593,0,0.77160907,0,2.010974,0.41256693,0,0,0.5447358,0,0,0,0.72160447,0,0,0.00045142393,0,0.036100674,0,vire_chiv
LEEC02__0__20161130_063100_ma_c0_v0.png,0,1.4939371,0.58301824,0.1443962,0,1.9216115,0.7607218,0.11644059,0,0.5679466,0,0.58449477,0,0,1.7263778,0.92368716,0.2587006,0.3611339,1.149997,1.2437698,0.420456,2.2753084,0.22230412,0.4554755,0.004189194,1.0431466,1.5364367,0,0,0,0.8337141,0.020157706,0,1.2906,0,1.1338013,0.44471186,1.1340991,0.5401156,0,0.8389217,0.56538934,0.28770804,0.42337224,0,0,0,0,0.34487587,0,0,0,0.95473903,1.7595611,0.7923002,1.4032543,0,0,0,0.024681289,0.46345007,1.0779899,0,0.5452514,1.1180067,0.023268456,0,0,0,0.2968164,0,1.0569873,0.80003345,0,0.2971302,0,0,0,0,0.83933496,0.02797776,1.387217,0,0.2844211,0,0,0.31435826,1.0989435,0,1.2185111,1.1108007,0.3306745,0,0.52866066,0,1.3077406,0.20944914,0.55797726,0,0,0,0,0,0,0.35517207,1.5819279,0,0,0.9852972,0.9144113,0,0.56851745,0,1.7679745,0.23358731,0,0,0.6042378,0.02602624,0,0,0.5863043,0,0,0,0,0.13257329,0,vire_chiv
LEEC02__0__20161202_050100_ma_c0_v0.png,0,1.9821264,0.6641076,0,0,2.645343,0.90640634,0.33452958,0,0.5479982,0,0.62387407,0,0,2.2807841,1.3320377,0,0.37280548,1.7771502,1.8435341,0.34492666,2.6405382,0.39104998,0.4891458,0.08706167,1.4920101,2.1466763,0,0,0,1.0775664,0.037252974,0,1.6169004,0,1.494834,0.4118178,1.0880953,0.7490833,0,1.2050693,0.9253353,0.44348162,0.51109844,0,0,0,0,0.6068061,0,0,0,1.2751999,2.2911036,0.9274989,1.8931223,0,0,0,0,0.82597464,1.6708542,0,0.810769,1.3511577,0,0,0,0,0.5257142,0,1.1852983,1.0324862,0,0.29232618,0,0,0.0043128897,0,1.2204347,0,1.7757432,0,0.23874372,0,0,0.5112823,1.4333439,0,1.6953349,1.5266097,0.4402907,0,0.7070775,0,1.4564248,0.36129463,0.44020876,0,0.08378174,0,0,0,0,0.6329504,2.0716696,0,0,1.2154808,1.1760067,0,0.8588926,0,2.1195536,0.48326167,0,0,0.541969,0,0,0,0.8094963,0,0,0.02319821,0,0.07951578,0,vire_chiv
LEEC02__0__20161202_080100_ma_c0_v0.png,0,1.3321027,0.605561,0.46258968,0,1.7058747,0.78275716,0,0,0.8084876,0,0.67629725,0,0,1.7554696,0.8303853,0.5745033,0.42528734,1.0561786,1.0297766,0.632873,2.5498002,0.25043893,0.49429634,0.031392038,0.93410784,1.3344356,0.06334101,0,0,0.80526584,0.045609664,0,1.1733558,0,0.94037133,0.70070606,1.588843,0.47680315,0,0.8617505,0.40296066,0.30733326,0.46666217,0,0.022311505,0.26313755,0,0.21490198,0,0,0,0.9165382,1.7462332,0.7304665,1.1744908,0,0,0.105412595,0.22390671,0.5739669,0.7121265,0,0.6102977,1.0685732,0.32432273,0,0,0,0.08045817,0,1.0493858,0.73467857,0,0.23735407,0,0.15336959,0,0,0.6959092,0.04103381,1.32449,0,0.45987263,0,0,0.15368636,0.9250402,0,1.125056,0.9149105,0.27653378,0.16712491,0.2456465,0,1.2487619,0.05403081,0.61762494,0,0,0,0,0,0,0.13355014,1.4241927,0,0,0.94662863,0.9322504,0,0.44566917,0,1.8443164,0.03331303,0,0,0.82666886,0.08546101,0,0,0.4604427,0,0,0,0,0.2823244,0,vire_chiv
LEEC02__0__20161207_051400_ma_c0_v0.png,0,1.2414668,0.49176064,0.33206618,0,1.3522185,0.83690494,0,0,0.8201005,0,0.64244115,0,0,1.6011479,0.83149314,0.4522683,0.26404083,0.8823728,0.963366,0.56514525,2.3914573,0.18965207,0.43035614,0.0011621125,0.741114,1.3264793,0.09143554,0.087892145,0,0.7155992,0.08246316,0,1.0568073,0,0.9070238,0.58403003,1.447379,0.48165053,0,0.7973865,0.43974596,0.32463896,0.61132306,0,0.09472894,0.1545513,0,0.28584808,0,0,0,0.743236,1.3534148,0.63900876,1.000157,0,0,0.06074118,0.18340124,0.38385588,0.7504344,0,0.4951713,0.89101756,0.21712878,0,0.021554556,0,0.22794051,0,1.1856893,0.6009914,0,0.34943488,0,0.24403225,0,0,0.6608375,0.1582379,1.2480505,0,0.32491884,0,0,0,1.0338062,0,0.94445574,0.8113521,0.24091534,0.06921202,0.51444876,0,1.1146073,0.07844583,0.4841756,0.049514186,0,0.010978358,0,0,0,0,1.5700611,0,0,0.8503442,0.80765814,0,0.4592508,0,1.8290316,0,0,0,0.6927521,0.10731908,0.095452614,0,0.46811756,0,0,0,0,0.48146388,0,vire_chiv
LEEC02__0__20161209_063100_ma_c0_v0.png,0,1.8645767,0.75676733,0.08806481,0,2.519689,0.9243242,0.29001454,0,0.52561516,0,0.61258155,0,0,2.1597328,1.1009284,0.2309361,0.40409303,1.5224817,1.523568,0.42539254,2.5824625,0.2962216,0.45483983,0,1.3930088,1.9226962,0,0,0,0.9674707,0,0,1.5458134,0,1.3826591,0.5339731,1.2396463,0.5955064,0,1.0208282,0.6853577,0.3167457,0.46335065,0,0,0,0,0.492326,0,0,0,1.2108026,2.2126334,0.9634033,1.8103732,0,0,0,0,0.6471229,1.2818319,0,0.6120708,1.2958207,0,0,0,0,0.38972875,0,1.2150362,0.9641709,0,0.35183433,0,0,0,0,1.1193305,0,1.6680872,0,0.34632903,0,0,0.4595473,1.2872614,0,1.5925057,1.322731,0.44448918,0,0.6692748,0,1.6024684,0.30119178,0.6096357,0,0,0,0,0,0,0.5830779,1.8122299,0,0,1.1942494,1.1143986,0,0.6847884,0,2.0808773,0.3282406,0,0,0.6767658,0,0,0,0.66113234,0,0,0,0,0,0,vire_chiv
LEEC02__0__20161210_055900_ma_c0_v0.png,0,1.3961918,0.62027115,0.24875851,0,1.65072,0.85459536,0,0,0.7366643,0,0.6090846,0,0,1.7167988,0.8446582,0.35474163,0.2917288,1.0144078,1.0721585,0.51043975,2.4025004,0.2256277,0.4220997,0.03341171,0.88754445,1.4889073,0.014707195,0.0072017605,0,0.74764234,0.0707276,0,1.184323,0,1.0467551,0.59195226,1.337495,0.55907136,0,0.85331845,0.4853954,0.30335355,0.52898043,0,0,0.054962065,0,0.3305872,0,0,0,0.8675867,1.5688645,0.7331362,1.1697308,0,0,0,0.11024727,0.45805436,0.85559106,0,0.5331796,0.9725733,0.12058937,0,0,0,0.25670576,0,1.1603638,0.6697731,0,0.32299003,0,0.131554,0,0,0.7747319,0.10466983,1.3700982,0,0.29070127,0,0,0.08393075,1.0849075,0,1.1446047,0.9691252,0.29142877,0.0031746512,0.52720094,0,1.2158943,0.10657094,0.54346806,0,0,0,0,0,0,0.08411369,1.5774207,0,0,0.9107932,0.9079957,0,0.5228894,0,1.8028545,0.09216074,0,0,0.71294427,0.08559313,0,0,0.566197,0,0,0,0,0.34132603,0,vire_chiv
LEEC02__0__20161210_071600_ma_c0_v0.png,0,1.8962127,0.7625637,0.054059945,0,2.4904885,0.9459165,0.29977608,0,0.59371555,0,0.5821023,0,0,2.24459,1.1483532,0.10169189,0.27478555,1.6184609,1.6180533,0.3484683,2.5791914,0.37788618,0.35542774,0.039544493,1.371692,2.1219432,0,0,0,0.9303502,0.024709951,0,1.4708208,0,1.4511927,0.5223268,1.2435503,0.73701084,0,1.1022594,0.79726297,0.3565505,0.42474866,0,0,0,0,0.48900068,0,0,0,1.2509629,2.134754,0.9146429,1.7230471,0,0,0,0,0.75539017,1.3469493,0,0.7141765,1.1832777,0,0,0,0,0.50012136,0,1.2200211,0.84940857,0,0.2867042,0,0,0,0,1.2521486,0,1.786565,0,0.27652565,0,0,0.4185975,1.3641838,0,1.5872085,1.3770548,0.4349779,0,0.68359756,0,1.4533204,0.39538217,0.4912099,0,0.11583748,0,0,0,0,0.5268462,1.8849322,0,0,1.1499438,1.1922265,0,0.7454785,0,2.079493,0.37112862,0,0,0.62717724,0,0,0,0.72226715,0,0,0,0,0.013928687,0,vire_chiv
LEEC02__0__20170108_050100_aa_c0_v0.png,0,1.119805,0.41504776,0.3953608,0.118591405,1.1246914,0.82248133,0,0,0.852821,0,0.65601456,0,0,1.4596239,0.7671296,0.4701165,0.211286,0.70707864,0.85825217,0.63619107,2.371108,0.2324547,0.4584655,0.08154693,0.6317621,1.1211567,0.12180744,0.18150046,0.018642949,0.67710775,0.16158326,0,0.91421086,0.01839117,0.7763032,0.61095023,1.4685042,0.38527468,0,0.80139816,0.37108216,0.34244964,0.6807564,0,0.14466828,0.32340363,0,0.26799697,0,0,0,0.6226284,1.0866628,0.5157561,0.8272265,0,0,0.20286965,0.26599354,0.29999053,0.67643684,0,0.43061966,0.7368296,0.3493736,0,0.23022816,0,0.2098512,0,1.1348974,0.51482207,0,0.36010858,0,0.3301435,0,0,0.560299,0.26859516,1.0536704,0,0.33225507,0,0,0,0.94886667,0,0.8366151,0.68612814,0.20795096,0.1633066,0.41994956,0,1.0588244,0,0.4423134,0.17674379,0,0.090211436,0,0,0,0,1.5468488,0,0,0.7139082,0.6745232,0,0.41600057,0,1.816329,0,0,0,0.66345155,0.14291866,0.2303991,0,0.40500382,0,0,0,0,0.63523585,0,vire_chiv
LEEC02__0__20170121_051400_aa_c0_v0.png,0,1.62446,0.6531349,0.11260193,0,2.0216913,0.88539535,0.028994644,0,0.6537812,0,0.61421716,0,0,1.8919976,0.9864338,0.20709382,0.3072036,1.2394454,1.3304983,0.4512585,2.4437668,0.24952768,0.4173142,0.033595204,1.1101316,1.7379137,0,0,0,0.84476894,0.061591636,0,1.3784235,0,1.2391514,0.5389652,1.2045773,0.6244126,0,0.96400416,0.6191533,0.3029019,0.52065045,0,0,0,0,0.4312361,0,0,0,1.0100836,1.8483751,0.83063143,1.4707967,0,0,0,0.026765589,0.49886915,1.1267109,0,0.6201416,1.1182377,0,0,0,0,0.377514,0,1.1885355,0.8086334,0,0.35033366,0,0,0,0,0.95615804,0.04555696,1.5273684,0,0.24106754,0,0,0.25949046,1.2127693,0,1.3695624,1.1765234,0.3755446,0,0.640242,0,1.34802,0.17507684,0.56162435,0,0,0,0,0,0,0.27880308,1.7432313,0,0,1.0241406,0.9968873,0,0.6500634,0,1.8938681,0.23977397,0,0,0.64590526,0.025284907,0,0,0.6575595,0,0,0,0,0.20834261,0,vire_chiv
LEEC03__0__20161028_063100_ma_c0_v0.png,0,1.1408541,0.4497809,0.33531013,0,1.3964694,0.66709405,0,0,0.6999698,0,0.60859615,0,0,1.4593536,0.8133994,0.39633584,0.3234715,0.8621771,0.9746732,0.5591944,2.156944,0.25012603,0.43395296,0.10435471,0.7241715,1.1492202,0.023762153,0.01808557,0.027227165,0.7085361,0.0948437,0,1.0023404,0,0.8318023,0.5019748,1.2434759,0.45025942,0,0.7875186,0.41597986,0.34074634,0.4523347,0,0.030729197,0.25137013,0,0.27231875,0,0,0,0.7716907,1.3131382,0.57091403,1.0293056,0,0,0.048911206,0.16088028,0.4550283,0.83086455,0,0.49416047,0.8517296,0.22674374,0,0,0,0.20067365,0,0.9338327,0.5912891,0,0.24581167,0,0.14265557,0,0,0.61903536,0.12996653,1.1522492,0,0.33413735,0,0,0.048080046,0.8973296,0,0.9057194,0.84245735,0.24704055,0.07565442,0.3242078,0,1.0210267,0.03659827,0.46890894,0,0,0.02158408,0,0,0,0.05871853,1.4151349,0,0,0.75458306,0.7217329,0,0.4060262,0,1.6038657,0.013262608,0,0,0.61069095,0.10846599,0,0,0.43843523,0,0,0,0,0.36452848,0,vire_chiv
LEEC03__0__20161029_071600_ma_c0_v0.png,0,1.2719824,0.4795987,0.1783138,0,1.5620662,0.60886574,0.009445751,0,0.56627023,0,0.5510546,0,0,1.5141525,0.83590543,0.26897895,0.3693626,0.9740697,1.1168252,0.46419328,2.155349,0.24552083,0.44658247,0.084193796,0.80935776,1.3184875,0,0,0,0.744925,0.09432541,0,1.1436194,0,0.9623845,0.40105632,1.1269969,0.5313062,0,0.7760557,0.45495537,0.32833117,0.39055747,0,0,0.0638394,0,0.2823514,0,0,0,0.84194773,1.4953024,0.6426899,1.143243,0,0,0,0.06653929,0.46244913,0.9947624,0,0.5464044,0.9658711,0.07231458,0,0,0,0.24660121,0,0.91552085,0.6827959,0,0.21205491,0,0.09533526,0,0,0.6916164,0.077050716,1.225103,0,0.26133388,0,0,0.2100635,0.9632929,0,1.0533699,0.9740896,0.2629984,0,0.42216232,0,1.0632143,0.124737,0.50309414,0,0,0,0,0,0,0.17617854,1.4556766,0,0,0.84752023,0.76532316,0,0.54307896,0,1.5776666,0.1830183,0,0,0.5369333,0.09310397,0,0,0.52560675,0,0,0,0,0.25217524,0,vire_chiv
LEEC03__0__20161030_072900_ma_c0_v0.png,0,1.2240038,0.47600085,0.20625207,0,1.5031539,0.6374361,0,0,0.6228914,0,0.57576513,0,0,1.4224113,0.841793,0.2797668,0.3578756,0.9446389,1.054725,0.5045518,2.1105096,0.24774536,0.4507057,0.10635066,0.8051943,1.2611434,0,0.012460321,0.0132004935,0.7320337,0.11879401,0,1.0846667,0,0.9087506,0.4283647,1.1316693,0.49811825,0,0.78469574,0.45251796,0.34113768,0.41568983,0,0,0.14621314,0,0.29991806,0,0,0,0.8099262,1.4116725,0.5856939,1.1187239,0,0,0,0.09788191,0.44502378,0.94393736,0,0.5482847,0.93700707,0.1321051,0,0,0,0.2166893,0,0.9095029,0.6819872,0,0.2459018,0,0.070015624,0,0,0.645167,0.10068351,1.2032696,0,0.27592346,0,0,0.14529307,0.93869054,0,0.9743813,0.9335151,0.24120496,0.032962818,0.36467138,0,1.0286937,0.058056537,0.47257692,0,0,0.017511325,0,0,0,0.113913715,1.4393755,0,0,0.8122725,0.7459974,0,0.49759677,0,1.5529623,0.11347496,0,0,0.57271445,0.08598823,0,0,0.5062618,0,0,0,0,0.30296814,0,vire_chiv
LEEC03__0__20161031_064400_ma_c0_v0.png,0,1.1525718,0.42646626,0.36838582,0,1.2508351,0.74642813,0,0,0.7779317,0,0.62281466,0,0,1.505405,0.7657233,0.40309244,0.25347003,0.7991976,0.9090548,0.6034809,2.2878914,0.2739134,0.40802446,0.12017462,0.6393541,1.1964563,0.09528093,0.14438447,0.04094655,0.6853899,0.14098077,0,0.920765,0,0.80405295,0.56966186,1.3774334,0.4786721,0,0.81502503,0.40517065,0.37743032,0.5334052,0,0.12653781,0.27033004,0,0.272308,0,0,0,0.691972,1.1543869,0.5474141,0.88595754,0,0,0.091497175,0.21246135,0.43965715,0.74681175,0,0.4717548,0.7188261,0.2351978,0,0.06946263,0,0.2219762,0,1.0296137,0.50211483,0,0.2958189,0,0.26330477,0,0,0.6275404,0.17553693,1.1394134,0,0.33558795,0,0,0,0.9578366,0,0.86470944,0.76019037,0.21145074,0.09657216,0.40160134,0,0.98004746,0.06180531,0.4421163,0.07429321,0,0.07613121,0,0,0,0,1.5000856,0,0,0.73662543,0.74056613,0,0.4079597,0,1.7006428,0,0,0,0.66566336,0.13868795,0.14507143,0,0.42618045,0,0,0,0,0.52916414,0,vire_chiv
