file,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,label
LEEC02__0__20161129_054600_ma_c0_v0.png,0,0.12013381,0.65154797,0.42079318,0,0.31684184,0,1.1300123,0,0.65516937,0,0.77088434,0,0,0,1.0881523,0,1.3510864,1.413837,1.0746258,0,0.23486096,0.26406994,0,0.15562345,0,1.5539277,0.16186684,0.681766,0,0.7230866,0.50148726,0,0.32062852,0.47226974,0,0.199611,0,0,0,0.33131623,0,0.41234607,0,0,0,0.08386962,0,0,0,0.52547276,0.39514104,0.39931595,1.9318503,0,0.38325658,0.7386568,0.4146231,0,0.37351656,0,1.0155544,0,0,1.7218219,0.23866048,0,0,0,0,0.5904854,0.76118773,0.18321025,0.3454284,0.80379623,0.52104825,0.8340159,2.0586104,0.9807526,1.0071667,0,0.15377435,0.11694823,0.2851082,0,0.7644784,0,0.82325566,1.3437071,0.11641077,0.061433293,0.6701291,0.46149078,0,0.56226295,0,0.491567,1.5898205,1.3559644,0.9700764,0.060596697,0.7437372,0.92064315,0,0,0,0,0.6146995,0.62749165,0,1.1654065,0.79505515,0,0,0,1.9697909,0.39469326,0.12902866,0.9995633,0.69298154,0.3032986,0.05843561,0,0,0.33263764,0.4826749,0,0.19714005,vire_chiv
LEEC02__0__20161129_072900_ma_c0_v0.png,0,0,0.07851002,0.06069011,0,0,0.0865792,1.5006123,0,0.90328985,0,1.4266065,0,0,0,1.336672,0,1.5128802,1.4933851,1.8839929,0,0.014977192,0.034576908,0,0,0.13284552,1.6531583,0.1882633,0.24096103,0,0.78677654,0,0,0,0.8168276,0,0,0.0772279,0.2858552,0,0.07769785,0,0.09905636,0,0,0,0,0,0,0,0.24865343,0,0.49858484,2.1185827,0,0.5344236,0.91541165,0.37896907,0,0.687388,0,0.9012,0,0,2.4996011,0.012383785,0,0,0,0,1.0184742,1.2659771,0,0.8575319,1.1930872,0.9818043,1.3395255,1.7824354,0.5770773,1.6481107,0,0.46140927,0,0,0,1.3482895,0,1.5708852,1.035199,0,0.055398956,1.0022922,0.49071562,0,0.80378467,0,0,1.2190255,1.329201,1.5718243,0,0.6056746,1.2519215,0,0,0,0,0.9610953,1.0671502,0,1.9059662,1.5901592,0,0,0,2.0845692,0,0,1.1670136,1.0744202,0.17859891,0,0,0,0.05079633,0,0,0,vire_chiv
LEEC02__0__20161129_080100_ma_c0_v0.png,0,0,0,0,0,0,0.3337059,1.3707299,0,0.7104363,0,1.4976903,0,0,0,1.4287359,0,1.394411,1.4231842,2.1194935,0,0,0,0,0,0.26000935,1.6344659,0.28637108,0,0,0.7879589,0,0,0,1.0353132,0,0,0.14371422,0.4296812,0,0,0,0.060192794,0,0,0,0,0,0,0,0.14529449,0,0.67408067,1.9727142,0,0.41153386,0.76636714,0.37505603,0,0.6771706,0,0.63607496,0,0,2.6807597,0.046369698,0,0,0,0,1.0898278,1.3159933,0,0.93038356,1.2075586,1.0111309,1.4642931,1.4948367,0.42581806,1.6649352,0,0.5654668,0,0,0,1.3775318,0,1.7525626,0.8032443,0,0,1.1738499,0.41857538,0,0.601158,0,0,0.94738114,1.1918185,1.6377902,0,0.35716304,1.383193,0,0.007886613,0,0,0.97776365,1.1782,0,1.9905505,1.9086645,0,0,0,1.9868289,0,0,0.92405385,1.2189742,0.1386965,0,0,0,0.04346037,0,0,0,vire_chiv
LEEC02__0__20161130_063100_ma_c0_v0.png,0,0,0,0,0,0,0.03773856,1.271656,0,0.5854815,0,1.2073721,0,0,0,1.101553,0,1.1690601,1.1850973,1.711573,0,0,0,0,0,0.21658748,1.4441915,0.18688935,0.06514894,0,0.7092569,0,0,0,0.75514024,0,0,0.07922389,0.36117998,0,0.07066665,0,0.043331385,0,0,0,0,0,0,0,0.22208606,0,0.3713976,1.6886551,0,0.3718143,0.7082321,0.28757367,0,0.50168675,0,0.7590446,0,0,2.1932561,0.043428805,0,0,0,0,0.842668,1.1723263,0,0.70579714,1.0016795,0.82380855,1.2172321,1.3854316,0.39777902,1.4201611,0,0.3826664,0.028527873,0,0,1.0717244,0,1.3949991,0.8450651,0,0,0.98909026,0.35855576,0,0.686766,0,0,0.9687025,1.0548749,1.4152887,0,0.41707173,1.155893,0,0.008212561,0,0,0.83728164,1.0092046,0,1.6162739,1.3430145,0,0,0,1.703989,0,0,0.9732176,0.8617909,0.114708476,0,0,0,0.07063979,0,0,0,vire_chiv
LEEC02__0__20161202_050100_ma_c0_v0.png,0,0,0,0,0,0,0.39502436,1.5148296,0,0.6950789,0,1.611781,0,0,0,1.6171769,0,1.4783579,1.4712036,2.378394,0,0,0,0,0,0.26518047,1.7486159,0.31999838,0,0,0.874957,0,0,0,1.1677046,0,0,0.11621738,0.53461623,0,0,0,0.04035619,0,0,0,0,0,0,0,0.110695064,0,0.7762166,2.0885792,0,0.33082637,0.8434171,0.43521643,0,0.7046873,0,0.6320531,0,0,2.9206898,0.026081767,0,0,0,0,1.298349,1.4396884,0,1.028864,1.3129874,1.1060323,1.592792,1.5424364,0.41166684,1.7754819,0,0.6528033,0,0,0,1.5533551,0,2.001241,0.757016,0,0,1.298047,0.4691961,0,0.5988711,0,0,0.9405667,1.2477019,1.749981,0,0.331342,1.5069603,0,0.009855444,0,0,1.0418762,1.2785351,0,2.2299058,2.1860454,0,0,0,2.0859263,0,0,0.9442646,1.3570017,0.0675511,0,0,0,0.06679021,0,0,0,vire_chiv
LEEC02__0__20161202_080100_ma_c0_v0.png,0,0,0.3391914,0.26721603,0,0,0,1.2278562,0,0.58422226,0,1.0191708,0,0,0,1.1249759,0,1.2339693,1.3136474,1.3746158,0,0.1957133,0.09319478,0,0,0.056925837,1.4092116,0.11845875,0.33523858,0,0.6284085,0.092661045,0,0,0.60988116,0,0,0,0.16941832,0,0.15053627,0,0.28442404,0,0,0,0,0.05746586,0,0,0.33281758,0.20969552,0.34475562,1.845784,0,0.4101706,0.7181655,0.46348578,0,0.46957308,0,0.7639391,0,0,1.803123,0.019379344,0,0,0,0,0.8766323,0.8626906,0,0.5265744,0.9963801,0.6554463,1.0032163,1.6894913,0.63761073,1.2021472,0,0.2720904,0,0,0,1.0313665,0,1.0545989,0.95246804,0.12489358,0,0.6897426,0.4744481,0,0.56031644,0,0,1.2640206,1.044746,1.1480861,0,0.49296674,0.9654628,0,0,0,0,0.7505644,0.7587931,0,1.4935064,1.0996861,0,0,0,1.8179585,0.117459975,0,0.86772174,0.857982,0.2211664,0,0,0,0.16925211,0.15565388,0,0,vire_chiv
LEEC02__0__20161207_051400_ma_c0_v0.png,0,0.011057068,0.28432298,0.15135923,0,0.07222234,0,1.1026695,0,0.67119026,0,0.9004518,0,0,0,1.0470454,0,1.2436439,1.2416791,1.2822055,0,0.09765784,0.15818894,0,0.025614385,0.029548885,1.3763858,0.15942082,0.41112843,0,0.6600076,0.22692801,0,0.0045019314,0.56308424,0,0,0,0.05032102,0,0.18228051,0,0.18075037,0,0,0,0.026454248,0,0,0,0.33434835,0.15190604,0.42979392,1.6884174,0,0.3919255,0.6969654,0.30324256,0,0.45348132,0,0.8323863,0,0,1.8604466,0.15935114,0,0,0,0,0.6568114,0.89346415,0,0.50028783,0.8216373,0.61253375,0.9441837,1.6547556,0.7102763,1.0797669,0,0.27641016,0.050964672,0.053040132,0,0.84418744,0,1.0128131,1.0425538,0,0.0670654,0.7542502,0.34510642,0,0.55113614,0,0.109887056,1.1926926,1.1814637,1.0580854,0,0.57341594,0.92404187,0,0,0,0,0.6665588,0.7271524,0,1.2807021,0.973592,0,0,0,1.7076644,0.06415697,0,0.90206736,0.781405,0.13648994,0,0,0,0.21533847,0.17383517,0,0.04768718,vire_chiv
LEEC02__0__20161209_063100_ma_c0_v0.png,0,0,0,0,0,0,0.18210483,1.5014367,0,0.6066089,0,1.5397683,0,0,0,1.39804,0,1.375333,1.4218414,2.1886754,0,0,0,0,0,0.3717023,1.7133399,0.28154868,0,0,0.8181707,0,0,0,1.0033909,0,0,0.16644152,0.5229344,0,0,0,0.07714605,0,0,0,0,0,0,0,0.23055169,0,0.4745897,2.021024,0,0.43953562,0.8016852,0.39063102,0,0.6555267,0,0.75172454,0,0,2.678515,0,0,0,0,0,1.1412387,1.356024,0,0.8896708,1.2915677,1.060562,1.5757909,1.5520688,0.35054263,1.7975707,0,0.48685536,0,0,0,1.4099116,0,1.7066435,0.8626131,0,0,1.1885118,0.49832985,0,0.7518567,0,0,1.0435902,1.1374648,1.7840854,0,0.4022557,1.4339228,0,0.07095971,0,0,1.0985454,1.2454439,0,2.0620308,1.801686,0,0,0,2.0538251,0,0,1.0718259,1.1292099,0.20261794,0,0,0,0.05429992,0,0,0,vire_chiv
LEEC02__0__20161210_055900_ma_c0_v0.png,0,0,0.19222578,0.06607908,0,0,0,1.1582131,0,0.656504,0,0.959787,0,0,0,1.1053082,0,1.2535769,1.2680095,1.3465372,0,0.060597587,0.0805234,0,0.010261749,0.10408723,1.3791304,0.162653,0.2741597,0,0.68191266,0.14547418,0,0,0.63382643,0,0,0.009183861,0.122508995,0,0.12575334,0.0043352926,0.1908868,0,0,0,0,0,0,0,0.30394965,0.11149564,0.4265958,1.6800582,0,0.39907068,0.7206782,0.3389912,0,0.5050364,0,0.7749049,0,0,2.0116694,0.108314894,0,0,0,0,0.7337263,0.9178403,0,0.5709419,0.82221055,0.6806041,1.0682552,1.6056788,0.6199141,1.1743814,0,0.3051234,0.044094164,0,0,0.91512746,0,1.0903907,1.0021175,0,0.021290263,0.8163891,0.36960444,0,0.5385612,0,0.017029544,1.0861602,1.1446385,1.1756196,0,0.5054022,0.9932545,0,0,0,0,0.7108512,0.7489825,0,1.3818941,1.1104842,0,0,0,1.7169679,0.0024214645,0,0.92052263,0.8261182,0.16247442,0,0,0,0.20034623,0.09161644,0,0.0018364999,vire_chiv
LEEC02__0__20161210_071600_ma_c0_v0.png,0,0,0,0,0,0,0.3061794,1.4849155,0,0.81366956,0,1.5836726,0,0,0,1.468572,0,1.4776181,1.4796442,2.1946168,0,0,0,0,0,0.23924792,1.7026554,0.30286604,0,0,0.84583694,0,0,0,1.0514964,0,0,0.14700474,0.45695844,0,0,0,0.051937282,0,0,0,0,0,0,0,0.1355871,0,0.70033276,2.1015568,0,0.44637275,0.86684,0.39960906,0,0.7213569,0,0.76972896,0,0,2.7663736,0.020365681,0,0,0,0,1.1947579,1.3843576,0,0.9485306,1.2780744,1.0951765,1.5200897,1.5953321,0.40222374,1.7761244,0,0.5941356,0,0,0,1.4841528,0,1.8628646,0.86220944,0,0,1.1562234,0.48166123,0,0.7244033,0,0,1.0456821,1.2757695,1.6936088,0,0.4433759,1.3972791,0,0,0,0,1.0349379,1.2178613,0,2.1217296,1.9996616,0,0,0,2.0996335,0,0,1.0640798,1.2592268,0.14166354,0,0,0,0.019076824,0,0,0,vire_chiv
