file,ACI,ADI,AEI,BIO,NDSI,RUGOSITY,MEAN_PSD,SPL,SNR,H,Hf,Ht,M,RMS,ROUGHNESS,NPEAKS,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,AR,label
LEEC02__0__20161208_183900_ma_c00_v00.wav,219.968270060857,0.3417085,0.4161625,2.44964010131786,0.457680404691331,0.0305245552429109,3.04010565106646e-11,-105.171113233393,0.226544162531943,0.534870221452405,0.535421468784761,0.998970442231973,8.1627734451899e-12,0.0184953964045247,0.242600231719995,126,-79.8592983292519,-6.11431889631843,4.54758442099345,-1.33442294214442,6.73758047221206,-2.70433760403945,7.52586686202367,0.34815636205206,5.57783573183937,5.90396805393281,0.523578448515029,8.3429953443709,0.718597558322674,dend_minu
LEEC02__0__20161208_183900_ma_c00_v01.wav,219.968270424785,0.3417085,0.4161625,2.44964012311234,0.457680402308852,0.0305245560689979,2.8766609434903e-11,-105.411113230414,0.22654414404034,0.534870223360539,0.535421470695234,0.998970442231277,7.94031541480452e-12,0.0179913452026147,0.242600231714232,126,-80.2088062942753,-6.11431889279349,4.54758438727931,-1.33442295866727,6.73758044846505,-2.70433762627306,7.52586695724682,0.348156279491879,5.5778357371887,5.90396801985047,0.523578313671609,8.34299545296844,0.65624350640875,dend_minu
LEEC02__0__20161208_183900_ma_c00_v02.wav,213.61299079969,0.297017,0.423491,2.6429911680989,0.472520383199186,0.0219339393841036,1.41315067607457e-11,-108.498115293765,0.26069136567699,0.451236339546488,0.451668144601157,0.999043977176982,1.88678687499934e-21,0.0184639756668015,0.245775148816861,130,-84.4612439804473,-5.88204230382092,4.95307304582352,-0.826031538317007,7.01363804113546,-2.47702839301821,8.02182311660124,1.2360310802377,6.57849771992879,6.55556922439539,0.967676621181891,9.02518975139957,0.223879708669434,dend_minu
LEEC02__0__20161208_183900_ma_c00_v03.wav,220.359427133748,0.340549,0.4162635,2.45148853873587,0.45776968072117,0.0281651133089551,2.94242580791581e-11,-105.312944789073,0.218619122434484,0.522174125361451,0.522709392304719,0.998975976037262,8.15858679568388e-12,0.0184930772955602,0.242596435579148,125,-79.8936788870522,-6.07040045575541,4.48231188182325,-1.25124839897768,6.63988532444186,-2.59308378497915,7.40372794288989,0.48175969696508,5.43679323265973,6.05632964387035,0.366990142202897,8.50751946093015,0.725214712715692,dend_minu
LEEC02__0__20161208_183900_ma_c01_v00.wav,221.955686270465,0.321952,0.4181685,2.40623686777697,0.406536818306188,0.0256709318956152,2.43958533345792e-11,-106.126839862413,0.257798791451837,0.510057247492161,0.510572336567795,0.998991153576599,8.15181470652292e-12,0.018514527112998,0.243240182316509,128,-80.2994012165709,-5.53177074592781,4.09403694282777,-0.90341151161629,5.61156423692692,-2.14603588446162,7.5069760886313,0.61862455531911,5.34750234037787,6.20785896580158,0.857067169293316,7.57055919230756,0.740142358663778,dend_minu
LEEC02__0__20161208_183900_ma_c01_v01.wav,221.955686440784,0.321952,0.4181685,2.40623680991573,0.406536817746792,0.0256709331487722,2.30842622799623e-11,-106.366839999459,0.257798790206804,0.510057247836753,0.510572336912449,0.998991153577158,7.9296547389322e-12,0.0180099545485504,0.24324018201471,128,-80.6489092474139,-5.53177074294243,4.0940369094988,-0.903411545946814,5.61156427796698,-2.14603586060391,7.50697607375826,0.618624496446312,5.3475023467792,6.20785895315041,0.857067122153484,7.57055923909723,0.675613595426423,dend_minu
LEEC02__0__20161208_183900_ma_c01_v02.wav,215.135559144014,0.2440905,0.4280875,2.57142128167808,0.410683353356038,0.0185295145161201,1.12962262174949e-11,-109.47066619052,0.26860925827733,0.428342741812441,0.428748419323063,0.999053809897976,1.88370050408012e-21,0.0184877837469085,0.246121693452794,114,-85.0357634801898,-5.43243822510084,4.3718605052558,-0.375716263312003,6.34215897458293,-1.20401360834729,8.32891123568552,1.20910589742009,6.02326988637398,6.77860348567371,1.44425311093603,7.82144396232753,0.221786444601074,dend_minu
LEEC02__0__20161208_183900_ma_c01_v03.wav,222.119776666294,0.322472,0.41804,2.40295471658146,0.406399989267264,0.0245265469347839,2.37820617888907e-11,-106.237504968694,0.252445272432039,0.498775587590367,0.499277549520471,0.99899462347028,8.15046014780799e-12,0.0185131499106074,0.24323735849589,124,-80.3344242967073,-5.48660813870722,4.0269680392871,-0.817935084554095,5.51164416837125,-2.03245697221418,7.38166849442473,0.755109013978246,5.20147732143077,6.36295491053991,0.695657079127617,7.74022239987268,0.743422699071536,dend_minu
LEEC02__0__20161208_183900_ma_c02_v00.wav,221.749008981693,0.268798,0.4284525,2.35386569257515,0.350123950797791,0.0271583993615711,2.56965365663679e-11,-105.901254078546,0.239915724697796,0.51535426762756,0.515874383721504,0.998991777629677,8.17103699791944e-12,0.0185344026042478,0.243513506859807,128,-80.4253771591266,-5.81953511482928,4.78512392238608,-1.48759608494985,5.39378980327886,-1.7738948545658,8.57854590607205,0.28145853138862,4.66252874360389,7.03444242899569,1.25812977297751,7.04218660506987,0.7470230854239,dend_minu
LEEC02__0__20161208_183900_ma_c02_v01.wav,221.749011724649,0.268798,0.4284525,2.35386583400802,0.350123952394883,0.0271584003528535,2.43150176539376e-11,-106.141254107758,0.239915711159445,0.515354269143902,0.515874385239271,0.998991777629884,7.94835362577297e-12,0.0180292883762453,0.243513506623081,128,-80.7748851325028,-5.81953511934675,4.78512390412901,-1.48759607231332,5.39378976639004,-1.77389492000334,8.57854596644471,0.281458529408904,4.66252864791748,7.03444241828742,1.25812984479542,7.04218653970461,0.683385804161119,dend_minu
LEEC02__0__20161208_183900_ma_c02_v02.wav,215.495143416828,0.1545795,0.43878,2.44022295630127,0.338100039904665,0.0200875425938718,1.24557859577109e-11,-109.046288633641,0.240564707163702,0.435075493673886,0.435487311034206,0.999054352790803,1.89036478654771e-21,0.0185063591762078,0.244738862680852,126,-85.0363861325053,-5.57984350754265,5.16054697945758,-1.07257479889763,6.24345848265097,-1.06789611493151,9.21526011683668,1.04542358606789,5.53841622205781,7.95927564949103,2.13320369180031,7.35626543492528,0.233574281462918,dend_minu
LEEC02__0__20161208_183900_ma_c02_v03.wav,221.807265627485,0.2703305,0.428277,2.35346709158414,0.350167092301311,0.026237180293241,2.56389022397264e-11,-105.91100573593,0.215241864117447,0.503888695973003,0.50439528022139,0.998995660212831,8.16808152174475e-12,0.0185328059261435,0.243519350525767,124,-80.458850745886,-5.77677807356554,4.7215166501891,-1.40698473559437,5.29892094750825,-1.66636670026092,8.46035879215619,0.411178714442057,4.52446490091017,7.18203268512211,1.10534287779273,7.20158302272178,0.752363275641528,dend_minu
LEEC02__0__20161208_183900_ma_c03_v00.wav,220.642023195534,0.2833145,0.4267915,2.2744556218657,0.34426092585495,0.0284656853680549,2.77556100405729e-11,-105.566492228685,0.218212178295501,0.522881462980969,0.52341318916006,0.998984117729351,8.17182603863912e-12,0.0185306967601546,0.243028643129933,121,-80.2068184557346,-5.8503620102679,4.89835357441326,-1.78722735774426,5.61960522343051,-2.02751333632414,8.46553486340347,0.155113325936777,4.97862952615274,6.81128074852029,0.99447519090757,7.56370554558018,0.73785635349501,dend_minu
LEEC02__0__20161208_183900_ma_c03_v01.wav,220.642022695498,0.2833145,0.4267915,2.27445577153516,0.344260937300813,0.0284656849045297,2.62633892982237e-11,-105.806492287974,0.218212171165704,0.522881464297947,0.523413190478416,0.99898411772928,7.94912093297297e-12,0.0180256835282872,0.243028643122985,121,-80.5563264436133,-5.85036203279865,4.89835354176989,-1.78722728818431,5.61960531163091,-2.02751334997503,8.46553481353475,0.155113329715933,4.97862955068574,6.81128065929266,0.994475057711599,7.56370546773966,0.674853856127253,dend_minu
LEEC02__0__20161208_183900_ma_c03_v02.wav,214.719545002457,0.191466,0.4359905,2.35352761140522,0.354648430460106,0.0207156580452619,1.28797403871986e-11,-108.900928908227,0.24166925776984,0.438895294836363,0.439312326172819,0.999050717879715,1.88918074554395e-21,0.0185014444183534,0.245136138230806,129,-84.9374156126469,-5.66348519028509,5.34936023868223,-1.11289868550885,6.14022926084828,-1.20626553062605,9.51928835639997,0.538697307535528,5.35395806264757,6.7723196763894,0.615289882811536,7.7839885901941,0.230092150259744,dend_minu
LEEC02__0__20161208_183900_ma_c03_v03.wav,221.101341386808,0.2833145,0.4267915,2.27497878327453,0.344272175035204,0.027451522319108,2.70994464794598e-11,-105.670395797297,0.211644460075862,0.510932038443146,0.511449472207562,0.99898829934816,8.16704490353144e-12,0.0185289775182945,0.24303128744994,117,-80.2400346377307,-5.80851034268727,4.83582238816195,-1.70807120186368,5.52690122577034,-1.9214579561115,8.34899703149224,0.282706561808107,4.8434419112918,6.95499929474721,0.844250588061096,7.71883981032535,0.741681154880309,dend_minu
LEEC02__0__20161208_183900_ma_c04_v00.wav,221.486524464312,0.2576405,0.4293945,2.31935066803705,0.370601562939554,0.0281349538749059,2.75422252966248e-11,-105.600009734835,0.23065855851966,0.523483725595333,0.524017199409343,0.998981953617912,8.15463944599237e-12,0.0184952809015289,0.243638391339209,117,-80.1072120523064,-5.88329723249115,4.75526263185744,-1.30154112774837,5.90638612720928,-2.09696507878535,8.15733328405828,0.73188061879952,4.62457272903209,6.13601648451852,0.984747525020041,7.60589798803938,0.731296890907667,dend_minu
