file,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,label
LEEC02__0__20161208_183900_ma_c00_v00.png,0,3.3416142,5.171833,2.1994364,0,1.5071431,0,0.8222651,0,0.4731265,4.5471435,3.9994066,0,3.4228404,4.3695917,3.5851934,0,0,3.0082595,3.4682612,0,0,2.65403,0,6.738852,0,0.1381154,4.20213,4.815638,0,3.2712407,1.6985259,0,3.1924927,0,3.869035,4.947727,0,0,0,0,0,0,4.3218627,0,0,4.308539,4.2366095,0,0,0,2.1800935,2.036338,0,3.5459929,0.7402389,0,2.2905164,3.2089212,2.7320654,1.9743359,0,1.1097249,0.48975825,0,2.6768463,0,0,0,0,0,0,1.5348634,0,0,0,0,7.4968176,0.20433632,0,0,0,3.4938517,0,3.1129038,0,0,0,0.4517129,4.880834,0.08887741,0,0,0,0.08091038,0,1.2222065,1.2406894,2.9846668,0,0.4524068,1.407113,0,0,0.4674371,0,0,0,0,2.133053,0,0,2.1553879,0,0,3.559614,2.8251762,0.76427674,0,0,0,1.5121175,0,0,0,4.2074065,0,0.42293802,dend_minu
LEEC02__0__20161208_183900_ma_c00_v01.png,0,3.3416142,5.171833,2.1994364,0,1.5071431,0,0.8222651,0,0.4731265,4.5471435,3.9994066,0,3.4228404,4.3695917,3.5851934,0,0,3.0082595,3.4682612,0,0,2.65403,0,6.738852,0,0.1381154,4.20213,4.815638,0,3.2712407,1.6985259,0,3.1924927,0,3.869035,4.947727,0,0,0,0,0,0,4.3218627,0,0,4.308539,4.2366095,0,0,0,2.1800935,2.036338,0,3.5459929,0.7402389,0,2.2905164,3.2089212,2.7320654,1.9743359,0,1.1097249,0.48975825,0,2.6768463,0,0,0,0,0,0,1.5348634,0,0,0,0,7.4968176,0.20433632,0,0,0,3.4938517,0,3.1129038,0,0,0,0.4517129,4.880834,0.08887741,0,0,0,0.08091038,0,1.2222065,1.2406894,2.9846668,0,0.4524068,1.407113,0,0,0.4674371,0,0,0,0,2.133053,0,0,2.1553879,0,0,3.559614,2.8251762,0.76427674,0,0,0,1.5121175,0,0,0,4.2074065,0,0.42293802,dend_minu
LEEC02__0__20161208_183900_ma_c00_v02.png,0,3.7239122,5.178506,2.2683003,0,1.6616317,0,0.9356701,0,0.831617,4.8725505,4.2515364,0,3.4099772,4.5614295,3.552945,0,0,3.2744744,3.3311987,0,0,2.6539145,0,7.022046,0,0.25395846,4.351274,4.9869885,0,3.5035791,1.8614593,0,3.224725,0,4.212383,5.432458,0,0,0,0,0,0,4.469012,0,0,4.3690405,4.3816156,0,0,0,2.3724117,1.9112773,0,3.7963922,0.54869276,0,2.4733605,3.4217682,2.7601626,2.0823798,0,1.0005759,0.56003135,0,2.5552156,0.0480449,0,0,0,0,0,1.5111476,0,0,0,0,7.9317565,0.3843671,0,0,0,3.6687481,0,3.6348803,0,0,0,0.39644533,4.93879,0,0,0,0,0.11067908,0,1.3042573,1.3429484,3.0698495,0,0.46306816,1.3724921,0,0,0.68666095,0,0,0,0,2.1880622,0,0,2.3579583,0,0,3.7131448,2.8118732,0.8279071,0,0,0,1.4921285,0,0,0,4.592714,0,0.559983,dend_minu
LEEC02__0__20161208_183900_ma_c00_v03.png,0,3.6549656,5.275039,2.3302665,0,1.4147717,0,0.77746314,0,0.5094024,4.9191594,4.3413305,0,3.9656062,4.914419,3.5775757,0,0,3.3086674,3.4008138,0,0,2.8522713,0,7.17723,0,0.36185738,4.26272,5.4782453,0,3.5688386,1.7162586,0,3.1737812,0,4.514166,5.7488832,0,0,0,0,0,0,4.4121714,0,0,4.0974083,4.3627768,0,0,0,2.127441,1.6759121,0,4.0995197,0.74368995,0,2.7824001,3.7707179,2.4977162,2.2422564,0,1.0414418,0.6058956,0,2.7629063,0.18585543,0,0,0,0,0,1.6378055,0,0,0,0,8.173703,0.12087949,0,0,0,3.692607,0,3.9116817,0,0.2063455,0,0.3216625,5.1632586,0,0,0,0,0.059623655,0,1.1148214,1.4909369,2.8148246,0,0.6450404,1.2124721,0,0,0.9484013,0,0,0,0,2.3122272,0,0,2.301384,0,0,4.1170983,3.048572,0.44377473,0,0,0,1.3303317,0,0,0,4.369845,0,0.73453385,dend_minu
LEEC02__0__20161208_183900_ma_c01_v00.png,0,3.517305,4.968629,2.2876384,0,1.4669838,0,0.8386559,0,0.69355905,4.7692895,4.176817,0,3.6745076,4.660242,3.5063334,0,0,2.9302058,3.4302974,0,0,2.5764453,0,6.9053106,0,0.4128103,4.2639356,4.872035,0,3.252175,1.9130462,0,3.2652822,0,3.9577332,5.251845,0,0,0,0,0,0,4.2778296,0,0,4.3224297,4.2040644,0,0,0,2.1938286,1.6563699,0,3.9569056,0.7723947,0,2.4016008,3.279896,2.7333825,1.8447664,0,1.1319643,0.26821125,0,2.5010874,0.0053956313,0,0,0,0,0,1.6769843,0,0,0,0,7.9861045,0.25694808,0,0,0,3.7320638,0,3.4160109,0,0,0,0.4947241,4.845615,0.32778123,0,0,0,0,0,1.3988793,1.6658945,3.1734362,0,0.25739637,1.4075054,0,0,0.61054975,0,0,0,0,2.1305325,0,0.21484675,2.174063,0,0,3.6333427,2.7116053,0.7187927,0,0,0,1.3591917,0,0,0,4.3865523,0,0.61812085,dend_minu
LEEC02__0__20161208_183900_ma_c01_v01.png,0,3.5173705,4.968652,2.2876375,0,1.4670004,0,0.8386951,0,0.69359905,4.769376,4.176819,0,3.6744802,4.660244,3.506279,0,0,2.9301746,3.4302528,0,0,2.5764785,0,6.905387,0,0.412829,4.263923,4.8720803,0,3.2521608,1.9130961,0,3.265299,0,3.9577823,5.251922,0,0,0,0,0,0,4.277867,0,0,4.3224754,4.2040744,0,0,0,2.1938233,1.6563318,0,3.9569309,0.77238196,0,2.4016123,3.2799072,2.7333841,1.8448119,0,1.1319174,0.2682311,0,2.5011125,0.0053610606,0,0,0,0,0,1.6769376,0,0,0,0,7.98618,0.25695333,0,0,0,3.732046,0,3.4160569,0,0,0,0.49470788,4.8456354,0.3277664,0,0,0,0,0,1.3988726,1.6659021,3.1734574,0,0.2573842,1.4074714,0,0,0.61053854,0,0,0,0,2.1304836,0,0.21482362,2.174076,0,0,3.6333272,2.7115939,0.71874356,0,0,0,1.359144,0,0,0,4.3865876,0,0.61814,dend_minu
LEEC02__0__20161208_183900_ma_c01_v02.png,0,3.177794,4.805434,1.8469056,0,1.611192,0,0.62195414,0,0.74005187,4.27377,3.7276564,0,2.9857028,4.1634426,3.4316227,0,0,2.6405,3.4716957,0,0,2.2276344,0,6.5825768,0,0.05494925,4.2467484,4.2197824,0,3.087655,1.7856251,0,3.1564739,0,3.6022584,4.737314,0,0,0,0,0,0,4.3996186,0,0,4.293003,3.9757469,0,0,0,2.2565176,1.892682,0,3.334073,0.6379293,0,1.9242452,3.007714,2.7579248,1.4277983,0,0.9984845,0.3979513,0,2.4277675,0,0,0,0,0,0,1.5261292,0,0,0,0,7.306739,0.17093956,0,0,0,3.2769074,0,2.794205,0,0,0,0.3591587,4.6867228,0.23301283,0,0,0,0,0,1.5783558,1.3414404,3.313686,0,0.0065294756,1.3071297,0,0,0.24640916,0,0,0,0,2.0223262,0,0.07426275,2.0952363,0,0,3.1318996,2.46368,1.1439204,0,0,0,1.3837907,0,0,0,4.082892,0,0.3392056,dend_minu
LEEC02__0__20161208_183900_ma_c01_v03.png,0,4.018331,4.9091034,2.5455103,0,1.4836856,0,0.8158569,0,0.71736586,5.29531,4.8187666,0,4.242209,5.4956446,3.5118232,0,0,3.453049,3.4475658,0,0,2.75806,0,7.462569,0,0.74840254,4.586021,5.565582,0,3.6427295,1.887979,0,3.2147236,0,4.921308,6.2813253,0,0,0,0,0,0,4.296289,0,0,4.096822,4.544653,0,0,0,2.2574525,1.0484035,0,4.83373,0.7249544,0,2.983671,3.860722,2.5933628,2.2086325,0,1.0613564,0.19550465,0,2.609659,0.41283426,0,0,0,0,0,2.0431342,0,0,0,0,8.898114,0.109731905,0,0,0,4.2684884,0,4.5479913,0,0.4604171,0,0.362194,5.309753,0.17088178,0,0,0,0,0,1.3744696,1.977777,3.0228791,0,0.37629047,1.2601001,0,0,1.2841033,0,0,0,0,2.4250898,0,0.18336739,2.3919683,0,0.13930112,4.4584055,3.0121522,0.31226197,0,0,0,1.1239746,0,0,0,4.8410673,0,0.90110606,dend_minu
LEEC02__0__20161208_183900_ma_c02_v00.png,0,3.3805382,5.083811,2.0032582,0,1.5312048,0,0.56900233,0,0.71650594,4.538223,3.9692395,0,3.6837137,4.557066,3.7264047,0,0,2.980127,3.5684671,0,0,2.3129404,0,6.900571,0,0.057560112,4.287172,4.76364,0,3.453193,1.8166043,0,3.1943438,0,3.77166,5.067072,0,0,0,0,0,0,4.508432,0,0,4.363715,4.2731886,0,0,0,2.1784883,2.0535703,0,3.6978445,0.6866373,0,2.1527398,3.5429828,2.6780279,1.6209407,0,1.1139377,0.4931513,0,2.493113,0.062056284,0,0,0,0,0,1.6733618,0,0,0,0,7.741091,0.17435288,0,0,0,3.4980378,0,3.1071427,0,0,0,0.44736606,4.8459287,0.17185274,0,0,0,0,0,1.4880813,1.5362537,3.212188,0,0.18974987,1.2610774,0,0,0.50803214,0,0,0,0,2.2723935,0,0.17454709,2.156535,0,0,3.4823642,2.7182763,1.142771,0,0,0,1.4787933,0,0,0,4.096466,0,0.63212216,dend_minu
LEEC02__0__20161208_183900_ma_c02_v01.png,0,3.3805382,5.083811,2.0032582,0,1.5312048,0,0.56900233,0,0.71650594,4.538223,3.9692395,0,3.6837137,4.557066,3.7264047,0,0,2.980127,3.5684671,0,0,2.3129404,0,6.900571,0,0.057560112,4.287172,4.76364,0,3.453193,1.8166043,0,3.1943438,0,3.77166,5.067072,0,0,0,0,0,0,4.508432,0,0,4.363715,4.2731886,0,0,0,2.1784883,2.0535703,0,3.6978445,0.6866373,0,2.1527398,3.5429828,2.6780279,1.6209407,0,1.1139377,0.4931513,0,2.493113,0.062056284,0,0,0,0,0,1.6733618,0,0,0,0,7.741091,0.17435288,0,0,0,3.4980378,0,3.1071427,0,0,0,0.44736606,4.8459287,0.17185274,0,0,0,0,0,1.4880813,1.5362537,3.212188,0,0.18974987,1.2610774,0,0,0.50803214,0,0,0,0,2.2723935,0,0.17454709,2.156535,0,0,3.4823642,2.7182763,1.142771,0,0,0,1.4787933,0,0,0,4.096466,0,0.63212216,dend_minu
