file,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,label
LEEC02__0__20161129_054600_ma_c0_v0.png,0.6841624,0,1.0191082,0.8512095,0,0.6895969,1.3915577,0.25935796,0,0,0.8354611,0,0.4144705,0.06825248,0.42915905,0,0.13687219,0,0.107395306,0,0,0.6226231,1.1457112,0.54054326,0,0.7055013,0.92901164,0.14861263,0.47088858,0.8040279,0.335979,0.16251773,1.1932846,0.76082546,0,0,0.46915177,0,0,0.60414267,0,0.96670234,0.3127676,0,0.35897103,0,0,0.3713494,0.8412351,0,0.2954358,0,0.55414414,0.13356857,1.3180177,0.88110876,0.69515795,0,0,0.052090757,0.49095562,0.5418437,0,0.57833904,0.10880831,0.13502085,0,0.5958405,0,0.31774035,0.1881858,0.46452892,0,0,0.8086159,0.9566377,1.3468201,0.32016197,0,0.363879,0,0,0.6795396,0.6563668,0,0,0,0.23892695,1.1922256,0.96887016,0.82515764,0,0.44283032,0,0,0,0.09266435,0.4592025,0,0,0.5095092,0,0,0.026531532,0.7304426,0.63667566,0.17382963,0.044695,0.8790158,0,0.7441956,0.65235335,0,0.5917446,0.64045,0,0.14057355,0.029973105,0.16749671,0.14327121,0,0,0,0,0.22019222,0.77618605,0.5072906,0,vire_chiv
LEEC02__0__20161129_054600_ma_c1_v0.png,0.24186254,0,1.0837194,0.59197044,0,1.0725652,1.2596422,0.30502123,0,0,0.8256573,0,0.4562204,0.37192133,0.3347988,0,0.520936,0,0,0,0,0.1840945,1.0023216,0.61170644,0,0.5564192,1.2538207,0,0.15945575,0.53733957,0.6888702,0,1.10972,0.014098493,0,0,0.5238942,0,0,1.1695384,0,1.1321853,0,0,0.57581306,0,0,0.15235238,0.92053306,0,0,0,1.0822836,0,1.2152342,1.2809831,0.92752784,0,0,0.11365452,0.043852367,0.9568513,0,0.4842536,0,0.3040936,0,0.8128428,0,0.2867747,0.053834066,0.3076247,0,0.15283388,0.8608663,1.0881003,1.6997896,0.15516667,0,0,0,0,0.72173727,0.95958126,0.22156656,0,0,0.5781278,1.5195673,0.9232947,1.2144241,0,0.4486373,0,0,0,0.2386434,0,0,0,0.6599065,0,0,0,1.3673942,0.49171874,0,0,1.2325077,0,0.9744142,1.0026786,0,0.6865854,0.9908216,0,0,0,0.17147854,0,0,0,0,0,0.30808488,0.9919157,0.9606133,0,basi_culi
LEEC02__0__20161129_054600_ma_c1_v1.png,0.24186254,0,1.0837194,0.59197044,0,1.0725652,1.2596422,0.30502123,0,0,0.8256573,0,0.4562204,0.37192133,0.3347988,0,0.520936,0,0,0,0,0.1840945,1.0023216,0.61170644,0,0.5564192,1.2538207,0,0.15945575,0.53733957,0.6888702,0,1.10972,0.014098493,0,0,0.5238942,0,0,1.1695384,0,1.1321853,0,0,0.57581306,0,0,0.15235238,0.92053306,0,0,0,1.0822836,0,1.2152342,1.2809831,0.92752784,0,0,0.11365452,0.043852367,0.9568513,0,0.4842536,0,0.3040936,0,0.8128428,0,0.2867747,0.053834066,0.3076247,0,0.15283388,0.8608663,1.0881003,1.6997896,0.15516667,0,0,0,0,0.72173727,0.95958126,0.22156656,0,0,0.5781278,1.5195673,0.9232947,1.2144241,0,0.4486373,0,0,0,0.2386434,0,0,0,0.6599065,0,0,0,1.3673942,0.49171874,0,0,1.2325077,0,0.9744142,1.0026786,0,0.6865854,0.9908216,0,0,0,0.17147854,0,0,0,0,0,0.30808488,0.9919157,0.9606133,0,basi_culi
LEEC02__0__20161129_072900_ma_c0_v0.png,1.1692086,0,0.8040829,1.0166428,0,0.8971963,1.4284378,0.066793434,0,0,1.1676477,0,0.38760898,0,0.6889691,0,0.11089112,0,0.85855484,0.0812998,0,0.47186658,1.5456992,0.098067366,0,0.66221774,0.8089482,0,0.27471504,0.4113105,0.37496844,0.3426768,0.81522185,1.1400946,0,0,0.24196334,0,0,0.20114686,0,1.3752537,0.16117576,0,0.3741015,0,0,0.060251452,1.088673,0,0.70894015,0,0.123714425,0,1.4093034,0.38884988,1.0629935,0,0,0.7059679,0.88461465,0.6768136,0,0.40690306,0.07151875,0,0,0.89612406,0,0,0.72030014,0.65777457,0,0,1.0978922,1.0961976,0.8879251,0.07566009,0,0.8466756,0,0,0.734634,0.8502725,0,0,0,0.113910794,1.0913727,0.7569887,0.2543514,0,0.5357563,0,0,0,0,0.6904738,0,0,0.07676514,0,0,0.08705111,0.33719736,0.08093107,0.44153816,0.07317611,0.25632045,0,0.62387043,0.4212254,0,1.1840609,0.6778489,0,0.015569581,0,0.11218596,0.19238287,0,0,0,0,0.097425856,0.47251493,0.069717675,0,vire_chiv
LEEC02__0__20161129_072900_ma_c1_v0.png,0.27136865,0,1.7724395,2.1208227,0,0,2.3113034,0,0,0,0,0,2.3608603,1.2407534,0,0,0,0,0,0,0,0.347016,0.183851,1.523497,0,0,1.3391805,0,1.6318858,2.5397508,0,0,2.6644986,0.24530062,0,0,1.2687582,0,0,0.9329718,0,0.1794264,0.5923685,0,0,0,0,1.070928,1.3649882,0,0.25727585,0,0.018566588,0,0.9615721,0.9039566,0.10497221,0,0,0,1.3330443,0,0,1.0909613,0,0.34349722,0.109566815,0,0,0,0.13609664,0,0,0,0,1.6094065,0,0.80240595,0,1.421913,0,0,0.88814926,0.92128944,0,0,0,0,1.8224076,1.9974604,0.32900333,0,0,0,0,0,0,0.8163472,0,0,1.7525566,0,0,0.9120393,0,2.0649333,0,1.2300888,1.1900085,0,0.7619885,0.8225884,0,0,0,0,0,0.15400179,0,0,0,0,0,0,0.29356775,0.8214453,1.3224983,0,myio_leuc
LEEC02__0__20161129_072900_ma_c2_v0.png,0,0,0.7880695,0,0,0.7972461,1.0794532,0.9848693,0,0,0.92479235,0,0,0.7716223,0,0,0.7184341,0.13300784,0,0,0,1.4943023,0,0.7002412,0,1.0674598,2.4433033,0,0,1.1350788,0.7027775,0.14001998,0.41723058,0,0,0,0.075928286,1.0658691,0,1.5523698,0,0.8926546,0,0,0.25371405,0,0,0,0,0,0.35599676,0,2.5638316,0.41285866,1.6556537,0.8083689,1.3749108,0,0,0.08589121,0.14365797,0,0.20945738,0,0,0,0,1.0464163,0,1.4420727,0,0.59756505,0,1.3565406,1.8396691,0.28216904,2.7586231,0,0,0,0,0,0.092012666,0.88774973,0,0,0,1.2431241,2.463225,0.9415648,1.7364773,0,1.456049,0,0,0.42019272,0,0.3258988,0.4967148,0.18389644,1.1356946,0,0,0,2.1702697,0,0.93671477,0,1.2398297,0,0.35693812,2.2397442,0,0.18147339,1.5437617,0.0069400743,0.289899,0.19321786,1.2726651,0.39255795,0,0,0,0,0.77984494,2.1041377,0.5847281,0,myio_leuc
LEEC02__0__20161129_080100_ma_c0_v0.png,0.9267786,0,1.4915459,1.3618389,0,0.895555,1.8763411,0,0,0,0.8630028,0,1.3950912,0.31801084,0.7453407,0,0.03446187,0,0.6311911,0,0,0,1.2956979,0.6564226,0,0.16985434,1.006466,0,0.6597484,0.8186434,0.31311974,0.12792087,1.6400664,0.6423034,0,0,0.53895795,0,0,0.7091445,0,1.4089966,0,0,0.6705513,0,0,0.11682997,1.4623855,0,0.53285503,0,0.35778075,0,1.278617,1.064349,1.0520858,0,0,0.43120018,0.7441436,0.81505966,0,0.65073365,0,0.2892955,0,0.82641816,0,0,0.75982195,0.44738275,0,0,0.46224314,1.6541662,0.5427165,0.29473898,0,1.187474,0,0,0.81525624,1.1903402,0.124245115,0,0,0.10052501,1.4035785,1.3192451,0.3137376,0,0,0,0,0,0.0003081453,0.3398813,0,0,0.7193269,0,0.051868852,0.04091318,0.36837846,0.60526145,0.06873632,0.46106744,0.81915236,0,0.82609487,0.7121485,0,1.0360548,0.80850196,0,0,0,0,0,0,0,0,0,0.05636785,0.54733205,0.81342614,0,vire_chiv
LEEC02__0__20161129_080100_ma_c1_v0.png,0.7556782,0,1.6487582,2.0487998,0,0.28267753,2.4241257,0,0,0,0.22506231,0,2.0536733,0.88932794,0.32697454,0,0,0,0.06254028,0,0,0.42232528,1.131471,1.183656,0,0,1.3541938,0,1.540665,2.1954894,0,0,2.3267179,0.78391343,0,0,1.2426134,0,0,0.7490935,0,0.57745737,0.48641613,0,0.1283386,0,0,0.9294499,1.4798293,0,0.24331275,0,0,0,0.9955881,0.8284907,0.21892074,0,0,0,1.3000616,0,0,1.021963,0,0.3371411,0,0,0,0,0.1792822,0.094892144,0,0,0,1.6943151,0,0.7744805,0,1.2820421,0,0,1.1145833,0.92359316,0,0,0,0,1.6505009,1.6134074,0.6151586,0,0,0,0,0,0,0.6854908,0,0,1.2820569,0,0,0.57018054,0,1.7200936,0,0.86074257,1.0232762,0,0.80171,0.69907844,0,0.28364927,0,0,0.07209791,0.14869095,0,0,0,0,0,0,0.51546437,0.7845115,1.2281456,0,myio_leuc
LEEC02__0__20161129_080100_ma_c1_v1.png,0.7556782,0,1.6487582,2.0487998,0,0.28267753,2.4241257,0,0,0,0.22506231,0,2.0536733,0.88932794,0.32697454,0,0,0,0.06254028,0,0,0.42232528,1.131471,1.183656,0,0,1.3541938,0,1.540665,2.1954894,0,0,2.3267179,0.78391343,0,0,1.2426134,0,0,0.7490935,0,0.57745737,0.48641613,0,0.1283386,0,0,0.9294499,1.4798293,0,0.24331275,0,0,0,0.9955881,0.8284907,0.21892074,0,0,0,1.3000616,0,0,1.021963,0,0.3371411,0,0,0,0,0.1792822,0.094892144,0,0,0,1.6943151,0,0.7744805,0,1.2820421,0,0,1.1145833,0.92359316,0,0,0,0,1.6505009,1.6134074,0.6151586,0,0,0,0,0,0,0.6854908,0,0,1.2820569,0,0,0.57018054,0,1.7200936,0,0.86074257,1.0232762,0,0.80171,0.69907844,0,0.28364927,0,0,0.07209791,0.14869095,0,0,0,0,0,0,0.51546437,0.7845115,1.2281456,0,myio_leuc
LEEC02__0__20161129_080100_ma_c2_v0.png,0.42782548,0,1.9320477,1.5656701,0,0.7352618,1.9882877,0,0,0,0,0,2.2382925,0.9828847,0.6081507,0,0,0,0.05866675,0,0,0,1.1044343,1.3442777,0,0,1.0026561,0.1273319,1.5060655,1.5398133,0.07082977,0,2.5750072,0.6126283,0,0,1.309746,0,0,1.2082056,0,0.43935737,0.33465728,0,0.6783679,0,0,1.2835733,1.6719987,0,0.06361843,0,0.4225552,0,0.65144557,1.3156055,0.044729378,0,0,0,0.5782572,0.64003456,0,1.1203737,0.09256062,0.53588885,0,0.26744565,0,0,0.3179916,0.22400808,0,0,0,1.5247124,0.08720477,0.7627068,0,1.2505071,0,0,0.8481834,0.92891145,0.317408,0,0,0,0.98767847,1.9745618,0.5619681,0,0,0,0,0,0.05712949,0.20632441,0,0,1.5620326,0,0,0.29563886,0.060737662,2.0114603,0,0.9743736,1.2961763,0,1.1176455,0.36878303,0,0.16874798,0.2848955,0,0.03550397,0.43238792,0,0,0,0,0,0,0.32174793,0.33414167,1.2144258,0,myio_leuc
