BIC2,BIC3,BIC4,BIC7,BIC8,BIC9,BIC10,BIC11,BIC12,BIC13,BIC19,BIC25,BIC29,BIC41,BIC45,BIC53,BIC57,BIC61,BIC65,BIC66,BIC67,BIC68,BIC71,BIC72,BIC73,BIC74,BIC75,BIC76,BIC77,BIC82,BIC89,BIC93,BIC109,GLCM1,GLCM2,GLCM3,GLCM4,GLCM5,GLCM6,GLCM7,GLCM8,GLCM9,GLCM10,GLCM11,GLCM12,GLCM13,GLCM14,GLCM15,GLCM16,GLCM17,GLCM18,GLCM19,GLCM20,GLCM21,GLCM22,GLCM23,GLCM24,GLCM25,GLCM26,GLCM27,GLCM28,GLCM29,GLCM30,GLCM31,GLCM32,GLCM33,GLCM34,GLCM35,GLCM36,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,GFCC1,GFCC2,GFCC3,GFCC4,GFCC5,GFCC6,GFCC7,GFCC8,GFCC9,GFCC10,GFCC11,GFCC12,GFCC13,GFCC14,GFCC15,GFCC16,LPC2,LPC3,LPC4,LPC5,LPC6,LPC7,LPC8,LPC9,LPC10,LPC11,MEL1,MEL2,MEL3,MEL4,MEL5,MEL6,MEL7,MEL8,MEL9,MEL10,MEL11,MEL12,MEL13,MEL14,MEL15,MEL16,ASA,BGN,SNR,AA,NAA,Ht,Hs,H,A,B,NDSI,ACI,H',M,MBA,TARGET_
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.663472846,1.875838123,-0.50653579,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.604916733,-0.416296853,2.409220186,-0.634083763,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.09140878,0.804442155,1.357961861,-0.08760896,0.302533715,-0.057613996,-0.095728915,0.798773382,-0.526714064,-0.029660052,0.287510405,-0.067308012,-0.08999293,0.787332982,-1.306076367,0.054095751,0.297833488,-0.039824784,-0.098006686,0.80315207,1.061602253,-0.112079679,0.302803072,-0.130069242,-0.112380703,0.799248885,0.767085691,-0.107470143,0.286262468,-0.17739215,-0.111822752,0.797387358,0.591120331,-0.106870368,0.264307361,-0.177342488,0.749250861,0.576803254,0.6100829,-0.31618231,-0.113685979,-0.342801454,-0.287092288,-0.573679661,-0.21796546,-0.329617679,0.448675893,0.003354125,0.142901674,-0.692113746,-0.993866063,-1.378694716,0.779670846,-0.316295156,-0.346476284,0.266004274,0.327750624,0.296499265,0.043558698,-0.251200541,1.064681608,0.342320421,-0.94205185,0.145575355,1.235793524,-0.59543105,-0.690415199,-0.015051214,0.062648474,0.088210452,-0.007902552,0.015205552,-0.043612233,-0.002085517,0.032715187,-0.026158292,-0.065985255,-0.007169793,0.033040585,0.433283467,0.691346406,0.990349396,1.093137983,1.136913346,1.064730605,0.931890367,0.800223517,1.148127296,0.513387949,0.453104444,0.407823538,0.155863933,0.119984884,0.538859933,0.82679393,0.772441053,-0.277770178,-0.848081769,-0.28468392,0.213223335,-1.244898014,-0.858053884,-0.76368986,0.189433147,0.902421303,0.390878508,-0.079059866,0.818058104,-0.4200175,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.356478231,1.561177155,-0.50653579,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.604916733,-0.416296853,2.409220186,-0.634083763,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.116928372,-0.045123786,1.961766755,-0.202718943,-0.129604509,-0.167670263,-0.1224907,-0.058967932,1.036893704,-0.222619879,-0.092774201,-0.116065279,-0.117387837,-0.06499975,-0.567640144,-0.200927076,-0.078946947,-0.072986617,-0.123548774,-0.038487333,-0.208957288,-0.189886213,-0.127239823,-0.192667428,-0.112380703,-0.043438413,-0.410533741,-0.189905554,-0.118388265,-0.17739215,-0.111822752,-0.047735603,-0.479583499,-0.189317879,-0.116872945,-0.209577568,0.905765649,0.864129036,0.610496357,-0.479900391,-0.606117155,-0.913528358,-0.403076492,-0.279298732,0.449276512,0.105117232,0.353498583,-0.532783978,-0.556452448,-1.403955511,-1.37334445,-1.35751204,0.854260951,0.355346753,-0.03964481,0.011364117,0.349607994,0.230135168,0.32334392,0.376394524,0.206953472,-0.302762137,-0.746540699,-0.431686524,-0.003817126,-0.034616613,-0.493441843,-0.655917257,0.009158763,0.088855108,0.007515766,0.055887469,-0.041891886,-0.006792705,0.027854699,-0.032891666,-0.042632845,-0.049711339,-0.0527811,0.389700172,0.673893323,0.939285059,1.085245997,1.233786727,1.215021407,1.110050008,0.960990374,1.263143375,1.234252272,0.694186101,0.356905283,0.180029218,0.195473508,0.537401473,1.010529646,1.074923838,-0.368501209,-0.848081769,-0.28468392,0.275699427,-0.96278318,-0.624501306,-0.729300926,1.879668424,0.886808958,0.976810317,-0.701509175,1.076934168,-0.48796276,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.42660702,1.633057219,-0.50653579,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.604916733,-0.416296853,2.409220186,-0.634083763,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.09140878,0.981112556,0.763738534,-0.08760896,0.450370475,-0.041891673,-0.095728915,0.980409866,-0.722774113,-0.029660052,0.41924298,-0.034803167,-0.08999293,0.979834266,-1.308520392,0.054095751,0.396453871,-0.072986617,-0.098006686,0.996674362,1.162782517,-0.073176413,0.401870545,-0.130069242,-0.112380703,1.001791411,0.882280159,-0.107470143,0.366223392,-0.161355229,-0.111822752,1.000480782,0.718881614,-0.106870368,0.373562863,-0.128989869,1.115363186,1.070392555,0.720508186,-0.440884629,-0.415841183,-0.996389611,-0.996761551,-1.152229265,-0.461953593,-0.458742188,0.245549567,0.018731587,0.412281766,-0.267115931,-0.640679304,-1.11445232,1.089801614,-0.234487584,-0.374052451,-1.480097006,0.758457046,1.020260486,1.162067585,0.676035288,-0.938230645,-1.307352115,1.083652266,-0.685026085,1.197012773,-0.254460383,-0.016818214,-3.633438167,0.106383897,0.177720286,-0.028025814,-0.004392991,-0.042915373,-0.003061698,0.011363404,-0.027650899,-0.056698878,-0.064387977,0.003823394,0.420715625,0.705150892,0.979180644,1.187018956,1.399600518,1.5278006,1.625129903,1.829260807,1.835587586,0.928707403,0.709165531,0.546880468,0.338748813,0.249625023,0.627704414,1.051712782,0.943783021,2.564425449,-0.787050495,0.649970444,-2.133951822,-1.913660225,-1.918573432,-0.757227819,0.364374399,0.895519869,0.64291106,-0.574610763,0.965121811,0.269677382,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,1.68340635,-0.530883366,-0.50653579,-0.038313365,-0.48959407,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,0.605110384,-0.416296853,-0.476728686,0.58648743,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.116928372,0.491153196,-0.445366643,-0.125978954,0.106934308,-0.262004205,-0.1224907,0.518194728,-0.849483302,-0.093979995,0.053871497,-0.197327391,-0.117387837,0.541076621,-0.420208245,-0.030911858,-0.00814257,-0.189053034,-0.123548774,0.503618509,1.005104891,-0.112079679,0.07539819,-0.317863798,-0.112380703,0.502874454,0.614591341,-0.107470143,0.089994747,-0.321724438,-0.111822752,0.499285079,0.485081145,-0.106870368,0.074931158,-0.322400348,-1.241676338,-0.969081346,0.11991838,1.289672061,0.658351844,0.347030527,1.188496615,-0.328502993,-0.236950858,-0.55112443,-0.027747187,0.081396892,1.089051456,0.874742031,0.914987627,0.322160542,-1.239370711,-0.005640182,-0.115001678,0.346822781,0.136898563,-0.043652498,-0.358653954,-0.107827442,-0.032873889,0.224497842,-0.070241052,0.159469118,0.366463857,-0.248543211,0.18190879,0.355459944,-0.196664386,-0.083456684,0.095098989,-0.021705943,0.022339615,-0.004428744,0.068115868,0.036041352,-0.061335883,0.00795485,0.14838444,-0.289875906,-0.508440188,-0.726053758,-0.580698673,-0.634511113,-0.931444824,-0.99418015,-0.926091805,-1.407825449,-1.520280713,-1.191249318,-1.111319516,-0.851904809,-0.30908027,-0.731482453,-0.158520598,-0.096136933,-0.655755163,1.226579243,-0.199715341,-0.287728536,-0.581574375,-0.579454103,1.680625666,-1.174348371,-1.741114256,0.784641656,0.335872453,-0.093334514,-0.509889894,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.664604194,1.876997723,-0.50653579,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,1.8151375,-0.416296853,-0.476728686,-0.634083763,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.167967555,-0.122893163,-0.862303282,-0.241088938,-0.366143326,-0.3248935,-0.149252485,-0.105771459,-0.616920589,-0.286939821,-0.41589184,-0.26233708,-0.144782744,-0.096599018,-0.504460256,-0.285934685,-0.417796466,-0.255376701,-0.17463295,-0.102264491,1.267799955,-0.22878948,-0.422190709,-0.380461984,-0.164790505,-0.105233082,0.993744638,-0.231123259,-0.423693609,-0.35379828,-0.164571956,-0.100878183,0.95902997,-0.230541634,-0.44221155,-0.386870508,-0.165910191,0.716886849,-0.018301409,0.017985292,-0.520465751,-1.014701024,-0.577574557,-1.793948986,-1.233366385,-1.077110433,0.299493681,1.420872682,2.168259275,1.557627708,1.693861481,1.528969595,0.01065445,-1.010137566,-1.22838738,0.232719145,-0.118190424,-0.542682472,0.521040617,-1.497324099,1.865242353,0.684055958,-1.653976662,0.827210879,-0.73758805,-0.834112701,1.023028775,1.133171827,0.19213982,0.136584935,-0.132987828,-0.155206558,-0.034758041,0.05701,0.073820811,0.032020698,-0.034596098,-0.029438098,-0.275981525,-0.578193156,-0.662295632,-0.846696397,-0.733339411,-0.208941073,-0.064526321,0.361714635,1.896691035,0.882803948,-0.257012428,-0.002196828,0.034599439,-0.25817059,-0.159892587,-0.719304317,0.525710328,0.250146731,2.588535081,-0.776610935,0.565001865,-1.915653612,-1.653522975,-1.751650062,-0.768094733,1.932616513,0.921675326,-0.238646881,-0.388244189,0.237110917,0.95215939,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,0.220585673,0.969086223,-0.50653579,-0.038313365,-0.490298359,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.604916733,2.265419171,-0.205781376,-0.558127618,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.142447963,0.945483616,-0.557243903,-0.164348949,0.368491654,-0.262004205,-0.1224907,0.986836257,-1.489330049,-0.158299937,0.294966965,-0.164822546,-0.144782744,1.024751232,-1.002020115,-0.115919467,0.151167279,-0.189053034,-0.149090862,0.955170524,1.074426498,-0.150982946,0.309557672,-0.317863798,-0.138585604,0.970834082,1.112669095,-0.148687849,0.266878002,-0.289650596,-0.138197354,0.991963574,1.533928957,-0.148094124,0.21332146,-0.306282808,-0.626013817,0.188871227,0.399991474,0.721333482,-0.118663276,-0.260593852,1.028836596,-0.090767483,-0.025270148,-0.666039019,-0.449103655,-0.456092414,0.721265903,0.615032657,0.813085685,0.279790629,-0.388631595,2.961372181,0.405606275,-1.954749715,1.011311033,-0.380211091,0.089333019,0.537429519,0.114249561,-0.229272694,0.176924871,-0.723715614,0.702117474,-1.261190152,0.466663032,-0.923589021,-0.118390816,0.008433632,0.018220352,-0.005973293,0.02255336,0.005703637,0.05667951,0.014957376,-0.037858942,-0.041019526,0.214443349,0.241662986,0.18343913,0.089654996,-0.01495672,0.029967392,0.033312269,0.00578463,0.018832144,-0.434692726,-0.487699298,-0.241844772,-0.736494538,-0.758797386,-0.32470454,-0.732163067,-0.081702718,-0.06005363,-0.655755163,1.226579243,-0.199715341,-0.197829026,0.051381811,-0.106603189,0.121955279,0.589735435,0.017133544,0.469321157,0.959791906,-0.016008577,-0.119096454,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.664604194,1.876702139,-0.506202042,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.603735746,-0.416296853,-0.341449833,1.691438796,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,0.061708772,0.853462663,-1.085282415,-0.125978954,0.72329988,0.146776213,0.03808001,0.861339755,-1.268213799,-0.093979995,0.702592294,0.208983169,0.046981603,0.878014404,-1.015322424,-0.030911858,0.649326646,0.242050799,0.055245843,0.863156151,0.314918166,-0.150982946,0.703576031,0.167272138,0.044848704,0.880241897,1.039778909,-0.148687849,0.647298153,0.127309346,0.046424859,0.894555506,2.112256339,-0.148094124,0.606641267,0.145008311,-0.487702535,0.252891664,0.442484813,0.582330593,-0.095215835,-0.448495492,1.299083535,0.120109302,0.292074901,-0.531371671,-0.262811089,-0.727189388,0.46660225,0.023291154,0.568128966,0.083665769,-0.61974834,-1.172150872,-3.106169712,3.333009075,-0.59651988,-1.866794578,1.678719532,-0.752856685,0.753680657,-1.427367222,0.092315435,-0.130301624,0.325757987,-1.112049915,0.52754593,-0.534127963,-0.136734096,-0.013671111,0.034756894,0.002630143,0.006116643,0.042850899,0.045555039,-0.016693552,-0.021699743,-0.020042381,0.4089603,0.493697762,0.357267822,0.169156885,0.083275443,0.183993775,0.230085427,0.006796754,-0.129527044,-0.354934185,-0.239128804,-0.109851447,-0.661434006,-0.712177864,-0.241334952,-0.698740041,-0.044118194,0.008226889,0.761935608,-0.848081769,-0.28468392,-0.639120207,1.190957419,0.373649503,0.644850018,-0.601285542,-0.862988554,0.080928816,1.674387613,-0.045511511,-0.262127719,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.664604194,1.876997723,-0.50653579,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.604916733,-0.416296853,1.687732968,-0.023798166,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.116928372,1.098933776,-0.421551187,-0.164348949,0.518602827,-0.19911491,-0.1224907,1.135734523,-1.417080818,-0.158299937,0.381960176,-0.148570124,-0.117387837,1.17596765,-0.949102702,-0.115919467,0.277603666,-0.189053034,-0.123548774,1.116073965,1.502625007,-0.150982946,0.390612878,-0.270915159,-0.112380703,1.113261794,1.159076364,-0.148687849,0.407415382,-0.241539834,-0.111822752,1.104126806,0.791172537,-0.148094124,0.407553464,-0.241812648,-0.358497699,0.552602028,0.31803984,0.218113918,-0.678813863,-0.830625703,0.368264237,-0.5465676,0.1233305,-0.047588131,0.190051637,-0.190125355,0.48816753,0.121169618,0.349696619,-0.012673014,-0.190342678,-0.136131359,0.719363203,-0.819683852,-0.333387076,0.983229737,-0.98612033,-0.009593228,-1.68717297,-1.205104677,-0.613223024,-2.061644557,0.269032825,-0.587353281,1.984487937,0.655763237,0.044249259,0.063738477,-0.032009214,-0.025604953,-0.05206298,0.026717612,0.090053162,0.019980588,-0.052461639,-0.078328268,-0.327843562,-0.06618396,-0.066847103,-0.269204031,-0.163757439,0.313986587,0.079910669,-0.035284216,0.482026426,0.366560903,0.156744188,-0.030102612,-0.455308026,-0.61159447,-0.307961793,-0.684058217,0.055282256,0.06603519,4.255201051,-0.848081769,-0.28468392,-3.996732551,-1.492694755,-2.304667366,-0.24941688,0.395914118,0.289709241,0.206365974,1.234290877,0.065075157,-0.274389601,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.664604194,1.245409641,0.206598715,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.600190367,-0.416296853,-0.476728686,1.802291072,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.116928372,-0.909801313,0.007957798,-0.164348949,-0.614054202,-0.277726529,-0.1224907,-0.911980393,0.438107202,-0.351259763,-0.550109936,-0.197327391,-0.117387837,-0.927260221,-0.220843841,-0.455949903,-0.45825611,-0.172472117,-0.123548774,-0.897774995,-0.118228279,-0.150982946,-0.64959559,-0.317863798,-0.138585604,-0.895844873,0.351844758,-0.148687849,-0.66357638,-0.321724438,-0.138197354,-0.895377739,0.930210025,-0.189317879,-0.648583053,-0.322400348,1.316372586,-1.945796668,0.736523863,-0.992180398,-0.470529616,-0.497398949,-0.878546229,-1.307203794,-1.323053686,-0.979919247,0.111827151,1.565909754,2.710973222,2.512199936,1.235599297,-0.496606664,1.597648153,-1.130576435,-1.456588302,-2.727795461,1.675313151,0.330889234,-1.643393891,-0.658626522,-0.517271961,1.639017998,0.492024127,-0.950701172,2.416743268,-1.908230283,-0.385723698,-0.998006099,0.414273977,0.169250083,-0.115297348,-0.156464487,0.006303695,-0.006751021,-0.030257459,-0.009391728,-0.027723564,-0.051293027,-0.774320658,-0.902323541,-0.900670638,-0.855324509,-0.698504957,-0.287974053,-0.099636295,-0.175865539,1.553868907,1.109874607,-0.278021728,0.446050578,0.483426303,0.374549236,0.870965053,2.979786086,0.754459107,0.620012319,0.580526727,-0.754928772,1.41468765,0.194313688,-1.731963315,-1.225798377,-0.780491586,0.38587948,0.929854586,-0.396207439,0.625122357,0.630453754,-0.197356122,0
-3.50E-09,-0.081612643,-0.049652625,-0.252415174,-0.168303015,-0.664604194,-0.587686099,2.276371498,-0.038313365,-0.491002648,-0.020956487,-0.021717592,-0.21126779,-0.034219469,-0.118193278,-0.020960345,-0.045638228,-0.04607408,-0.020957118,-0.021600804,-0.149257253,-0.125665759,-0.066085454,-0.302409954,-0.416296853,-0.476728686,1.501915825,-0.021605866,-0.427967436,-0.021569177,-0.020956487,-0.069839466,-0.040886338,-0.167967555,-1.197044287,-0.431520447,-0.279458932,-0.886983607,-0.340615824,-0.149252485,-1.213535757,1.457703467,-0.415579705,-0.808604047,-0.278589503,-0.172177651,-1.218917828,1.103392512,-0.455949903,-0.746531074,-0.271957617,-0.17463295,-1.178930023,-1.037888206,-0.267692746,-0.919779608,-0.411761076,-0.164790505,-1.185259904,-1.033441765,-0.272340964,-0.898613033,-0.401909042,-0.164571956,-1.187721906,-0.988405529,-0.27176539,-0.891373057,-0.402988048,-0.090491412,0.823047333,0.544628617,-0.270582078,-1.739604942,-2.275571266,-1.224770269,-1.239284274,0.453631004,1.301576771,2.982631728,2.474806604,0.650357996,-2.008625883,-1.884549653,-1.236939948,0.018430786,0.099286669,0.064538152,-0.257720963,0.6722655,0.225124435,0.415563255,1.207461419,1.249692005,0.717813328,-0.379371964,-0.162009903,-1.200251406,-1.41581156,-1.762743532,1.472552214,0.2155296,0.142693453,-0.121250006,-0.105775282,-0.014740852,0.050643326,0.06598969,0.002029403,-0.059756373,-0.077606867,-0.509215828,-0.486633036,-0.611541265,-0.71062126,-0.511640678,-0.23652998,-0.087670795,-0.068788091,0.510495557,2.565563329,1.099066719,-0.344475662,-0.312055246,-0.72736672,-0.31025037,-0.444700733,1.155817201,1.327140843,-0.580564422,-0.848081769,-0.28468392,0.890115825,-0.783155503,-0.242654387,-0.750370631,2.030316237,0.906720638,-0.262141239,-1.545117262,1.227493897,-0.028719159,0
