,ID,Source_File,Newspaper,Date,Length,Section,Author,Edition,Headline,Graphic,Article
1,1,/home/paultrust/Downloads/Files(415)/'AI will play a major role in economy'.DOCX,Daily Mirror,2021-07-09,105 words,NEWS; Pg. 17,james ward,NA,'AI will play a major role in economy',FALSE,"ARTIFICIAL intelligence is set to play a major role in the Irish economy in the coming years, but does not represent a threat to jobs, the Taoiseach has said. Micheal Martin and Junior Minister for Digital and Company Regulation Robert Troy launched Ireland's first National Artificial Intelligence Strategy yesterday. The Taoiseach said he is conscious that the concept of AI ""hasn't had the best reputation"" in popular culture, but said it could play a crucial role in economic recovery. He added: ""As a Government, we've been taking it very seriously. ""We have developed a deep understanding of what it can and should mean for us."" Graphic   DIGITAL FUTURE Robot"
2,2,/home/paultrust/Downloads/Files(415)/'AI will play a major role in economy'.DOCX,Irish Daily Mail,2021-07-14,504 words,NEWS; Pg. 10,Christian McCashin,NA,'Banks must do more to solve our arrears crisis',FALSE,"BANKS need to do more to solve the mortgage arrears crisis threatening thousands of family homes, the Central Bank warned yesterday. Of a total of almost 730,000 mortgages, more than 52,000, or 7%, are behind on their repayments - with almost 16,000 in long-term arrears of more than five years. In a speech to the Banking and Payments Federation Ireland yesterday, Central Bank deputy governor Ed Sibley stressed that 'resolution of long-term mortgage arrears remains a key policy priority for the Central Bank', and is 'receiving significant focus'. However, his intervention was described by housing campaigner David Hall as 'too late' for thousands of homeowners. Mr Hall, head of the Irish Mortgage Holders Organisation, said: 'This is no surprise. The last mortgage arrears crisis is not resolved and the Central Bank has had its head in the sand, the Government has had its head in the sand and this will come back to haunt them. He's only telling the truth... many people will be homeless unless they get their act together. 'It's been ten years for the banks to do something but they've ignored it. It's a bit late now, too late to apologise.' Mr Sibley said the combination of supports offered by lenders and the Government during the coronavirus pandemic, such as repayment holidays, had been crucial in minimising the economic effects of the emergency on households and businesses. However, he warned that as Government support is reduced, some borrowers will require further financial support, and that the Central Bank expects lenders and borrowers to 'proactively engage to develop, tailor and implement solutions according to individual borrower circumstances using a wide range of solutions'. He added: 'Lenders' strategies, plans and commitments submitted to the Central Bank, together with our supervisory follow-up, provide a good degree of assurance that lenders are ready and committed to provide the necessary support to those borrowers as we move to the next phase of the pandemic. It is critically important that these plans and the engagement with borrowers are executed well and in line with our expectations. This will be a key focus of our supervisory efforts over the coming months.' On long-term mortgage arrears, he said that while significant progress has been made in resolving this crisis, much of it due to the Central Bank's interventions, solutions still need to be found those remaining borrowers in deep arrears. He also told those in arrears 'to engage with their lender or the other supports available, like MABS [the Money Advice and Budgeting Service] or the Insolvency Service, for help'. Rachel McGovern, Brokers Ireland director of financial services, said that 'restructures such as ""arrears capitalisation"" are effectively a method of kicking the can down the road'. She added: 'The taboo around debt needs to be addressed and consumers need to be encouraged to engage at an early stage when encountering issues with repayments.' christian.mccashin@dailymail.ie 'Kicking the can down the road'"
3,3,/home/paultrust/Downloads/Files(415)/'Banks must do more to solve our arrears crisis'.DOCX,The Irish Times,2021-07-06,542 words,FINANCE; Pg. 19,Eoin Burke-Kennedy,NA,'Forced change' to corporate tax could trigger migration of activity,FALSE," A ""forced change"" to Ireland's corporate tax rate could trigger firms to reassess their commitment to Ireland and shift activities to other jurisdictions, a new report has warned. In an assessment of the likely impact of global tax reforms on Ireland, debt ratings firm DBRS Morningstar, however, describes the risks to the State as ""distant"" while noting Ireland enjoys significant non-tax benefits that should keep it competitive. It said that the proposed changes envisioned by the Organisation for Economic Co-operation and Development (OECD) and the G20 had two distinct pillars - a reallocation of taxing rights and a global minimum rate, ""each with possible varying effects on Ireland's budget, its existing capital stock, and future direct investment"". Consensus will, however, be difficult to achieve and implement, it said. Under pillar one of the OECD reforms a proportion of profits booked in Ireland would be reallocated and inevitably reduce Ireland's corporate tax take, DBRS said, noting the Irish Government had already budgeted for EUR 2 billion of losses arising from the this. A global minimum rate - set at 15 per cent, envisioned under pillar two, will ""be more consequential"", it said. This would require Irish domiciled corporates to ""top up"" their tax contributions. An attempt to accurately model how a new corporate tax regime would affect Ireland would need to reflect a full range of negative impacts including those on employment and incomes.  Intangible assets  ""Most impactfully, a forced change to Ireland's tax rate might spur firms to reassess their commitment to Ireland and shift activities or intangible assets to other jurisdictions that do not comply with the new global minimum standards,"" it said.  ""An exit of a handful of large multinationals could have large spillover consequences to the rest of the economy.""  The company cites recent research by the Irish Fiscal Advisory Council (Ifac), which warned a ""pillar 2-like shock""involving five large multinationals redomiciling their business away from Ireland could result in a direct corporate tax loss of EUR 3 billion and a direct loss of 5,000 jobs and 15,000 indirect job losses, resulting in higher unemployment and emigration. In its report, DBRS also cautioned that the concentration of corporate tax receipts in only a handful of companies - over 50 per cent of receipts come from just 10 large firm - exposes the Irish exchequer to budget risks.  ""This complicates the forecasting of revenues and the funding of permanent expenditures,"" it said. ""These concentration risks are amplified by the ongoing efforts to reform the global business tax landscape.""  Nonetheless, it described the State's corporation tax base as ""resilient"". It also noted that ""years of the multinational sector's large tax windfalls was helpful in repairing the government's public finances after the global financial crisis"". DBRS also concluded that Ireland had significant non-tax benefits that should keep it competitive, even if reforms cause more structural change to the Irish economic model. It highlighted Ireland's highly skilled labour force, its use of the English language and common law, unfettered access to the European Union, and its favourable climate for doing business."
4,4,/home/paultrust/Downloads/Files(415)/'Forced change' to corporate tax could trigger migration of activity.DOCX,Irish Daily Mail,2021-07-03,272 words,NEWS; Pg. 22,Christian McCashin,NA,"'Green' mortgage could save you (EURO)1,000 a year",FALSE,"A NEW 'green' mortgage offer to owners of low-energy homes could save borrowers (EURO)1,000 a year on their homeloan repayments. The new deal was announced this week at the same time as the country's largest power supplier, Electric Ireland, revealed it was raising electricity prices by 9% and gas by 7.8%, adding almost (EURO)160 a year to the average dual-fuel bill. But in better news for homeowners, Haven's green mortgage offers a fixed rate of 2.15% for four years, and is available to new and existing Haven mortgage-holders whose property has a Building Energy Rating (BER) of between A1 and B3. Existing customers can qualify by having four years or more remaining on their mortgage. Haven boss Kieran Tansey said: 'We're making this new green mortgage rate available to new and existing customers who will see the benefit of their green homes in their wallets.' Haven is owned by AIB, which already has a 'green mortgage' of 2.1% fixed for five years for A1-to-B3-rated energy-efficient homes, but people must apply direct to AIB and not through a broker. Housing campaigner David Hall, of the Irish Mortgage Holders Organisation, said: 'It's good news, a further reduction and a further incentive for people to have more energy-efficient homes. 'That makes it a good incentive to improve your BER. Also it's a good fixed rate for five years, so it's a good opportunity and good news. So, more of this please.' Joey Sheahan, of www.MyMortgages.ie, said: 'This is a fantastic switching opportunity for those that are in a relatively new house with an above B3 rating or those that have already retrofitted their homes to that level.'"
5,5,"/home/paultrust/Downloads/Files(415)/'Green' mortgage could save you (EURO)1,000 a year.DOCX",The Irish Times,2021-07-14,894 words,FEATURES; Pg. 9,Rosita Boland,NA,'Housewives' of Ireland no longer subservient citizens,FALSE,"'Most housewives in Mayo still bake their bread in iron pots, with red coals of smouldering turf on top of the closed lid, and boil their bacon and cabbage in their cottages' fireplaces rather than on stoves."" This was apparently how the housewives of Mayo - as seemingly distinct from the housewives of any other Irish county - were operating in 1966. That's the year Ireland was included in a series of books published by the US Time-Life International company, in its World Library imprint. The series featured countries around the world: China, tropical Africa, Russian Scandinavia, Japan, eastern Europe, and many more. I have most of the set, picked up here and there over the years in second-hand bookshops.  These books featuring different countries were intended to be snapshots of the era they were written in. So what was Ireland like - as seen from an American perspective - in 1966, more than half a century ago? Well, for a start, surprise surprise, Irish women were clearly seen as inferior to men. It starts on the cover, which depicts a solitary person: an older man, fag in hand, leaning over a stone wall on Inis Mór. No women in sight, which is more or less where they remain throughout the book, reductively referred to through the text as ""housewives"" or ""mothers"". ""The father is the head of the closely knit family, and although he never pushes a perambulator or washes dishes, he takes charge of the boys when they reach the age of seven or eight."" We never learn what this father actually does with his small sons once they reach seven and eight - bring them to the pub? ""The Irishman seldom drinks at home, partly because his wife, like most middle-class Irishwomen, is likely to be a teetotaller. He prefers having his glass of stout in the male company that he finds in a pub."" Grim picture  The writer presents a grim picture of the home life of a middle-class teetotal subservient Irish housewife. ""The housewife does not eat dinner until the men have left the table. She has no part in her husband's social life; he goes off with his sons and other men to the village pub and to football and hurling matches while she stays home with her daughters."" The relationship between mothers and sons is presented as weirdly intense, and hinted at as an emotionally stronger bond than  hers with her husband. A connection with daughters is never mentioned.  ""The attachment between an Irish mother and her son is strong. She sees to it that her son gets the best cut of the meat, sometimes better than the one she serves to her husband. She secretly slips him money for a dance. She hates the thought of him leaving home to marry, and in many cases, so does he."" Is this how the ""Irish mammy"" trope started out?  The Irish mother who doesn't want to see her beloved son marry, will, however, happily part with him if he embraces God instead of a future housewife.  ""The church is the one thing that comes before obligations to the beloved family. The mother who is reluctant to see her son married will never raise her voice in protest if he decides to go off to Africa as a missionary for the rest of his life."" The church gets an entire chapter to itself, written throughout with a tone of breathless hagiography.  'Clan leader'  ""The priest is deeply involved, directly or indirectly, in everything in his town, and he is an unofficial clan leader, consulted for advice and guidance not only in matters of family trouble but also in business or legal disputes, arguments over the ownership of livestock or land boundaries and squabbles about the selection of the local football team. In certain aspects of town and county government that concern social life, the priest's word is law. ""Like a general in an army community, he belongs to a special high caste. He is too respected and honoured for his calling to be treated like other men."" There is a full-page colour picture of a priest in his clerical garb, in a  picturesque green field with a castle and four small children with their sheepdog. The caption reads: ""A priest shows a tender regard for his charges.""  Decades would pass before the population learned what some priests had been doing to the children in their charge. The writer is approving of the Irish body image, and theorises as to why that may be. ""The old-fashioned custom of eating dinner at noon and a light supper in the evening may account for the slimness of both men and women in Ireland; a foreign visitor realises after a few days that he has seen few fat people."" And so to politics.  ""The big change of the 1960s in Ireland, shaping a new course for the future, is the country's abandonment of its stubborn nationalism of the last half-century."" Well, we all know what happened next in Northern Ireland.  Ireland's possible entry into the European Common Market was mulled over. ""A provocative question is what will happen to Ireland's partition if North and South end up as fellow members of the Common Market. Inevitably, the economies of the two regions will become increasingly interrelated. If that happens, some members of the government argue, the partition will not last long."" Fifty-five years later, with Northern Ireland having since joined and then left the EU, that same discussion continues to be relevant.  As for us ""housewives"" of Ireland, thankfully we are no longer the subservient citizens we were made out to be in 1966."
6,6,/home/paultrust/Downloads/Files(415)/'Housewives' of Ireland no longer subservient citizens.DOCX,Irish Independent,2021-07-06,1040 words,"NEWS; Pg. 30,31",Emer Farrell,NA,"'I paid off almost (EURO)30k of debt in 18 months. Now I want to retire at 50'; Software engineer Emer Farrell (37) from Co Offaly is saving (EURO)3,000 every month for an early retirement and says her lifestyle hasn't changed all that much since she started budgeting",FALSE,"never considered myself to be terribly bad with money. I was quite comfortable with having loans for cars and using credit cards. I just earned money and spent money, and that was it. 'I But then, at the end of summer 2019, I got my annual pension document from work. I usually just filed them away and didn't pay much attention, but this time I had a read through it because I was quite curious. It said my retirement date was 2048. It was the first time I had seen the date in black and white, and it shocked me. I remember thinking, 'I'm not going to do that. I need to sort out my finances and figure out how to bring that date forward as much as possible'. It was a really hard thing to do but I printed off three months of bank statements. I rarely use cash so it was a nearly perfect view of where my money was going and it just shocked me. I never planned meals so my food bills were really high. It's only myself and my partner in the house and I was spending some months close to (EURO)1,000 on food. And it was just from not being organised and popping to the shop after work. I was also following a lot of people on social media and buying whatever they recommended. That's fine if it's once or twice a month but I was literally buying everything and it was adding up. After looking through the statements, I identified the bills that I still needed to pay and the bills that I could get rid of or reduce. I didn't cancel Netflix or Spotify, for example, but there were a lot of subscriptions that I wasn't using at all. Before that, I would see the direct debits coming out of my account every month but it was always too much hassle to cancel them. Next, I looked at my mobile and broadband bills and asked if I could get them cheaper elsewhere. Then I set myself a grocery bill budget and unfollowed a lot of influencers online because I was being influenced to part with my money and it wasn't helping matters. At the time I had two credit cards, one car loan and one personal loan. The highest interest was on the credit cards so I attacked those first with a 0pc credit transfer. Then I paid off the personal loans and the car loans. I was properly determined and it took me 18 months to pay off (EURO)27,759. After paying off the debt, I started saving about (EURO)3,000 a month for an early retirement. I'm involved in the FIRE (Financial Independence, Retire Early) meet-up group in Limerick. People from different backgrounds and of all ages share information on saving, investment moves and their plans to retire early. It's brilliant to meet like-minded people because a few years ago this information was only coming from the US. I'd like to retire by 50. My partner is 10 years older than me and he plans to retire at 55. He started saving a lot earlier than I did and he has things in place to make that happen, while I'm still catching up. We looked at our expenses and we worked out how much we'll need per year before our pension kicks in. If I reach that figure before I turn 50 then that's great, but if it's maybe a little later, then that's fine too. It's nice to have a target age because I'd like to enjoy life while I still have the time. It's really about sitting down and saying, 'How much is coming in and how much do I have to pay out in order to live?' I now save for short-term things like Christmas, birthdays and nights out. I have an emergency fund should I lose my job and another fund for laser eye surgery. And then I have longer-term savings like investment funds and individual stocks. I'm not stingy or anything like that. I still buy Charlotte Tilbury makeup and good skincare products. The only difference is that I now budget for it and I don't impulse buy anymore. Every time a new temptation comes up I think, 'Do I need it or am I just falling for marketing tricks?' I also keep a wish list of sorts. If I see something I really like or if I hear something new is coming out, I put it on the list. And by the time I've saved up for it, the chances are I've gone off it or I don't want it anymore. Meanwhile, I'm doing a few things to bring in extra money, like online surveys that pay you for taking part and matched betting, which involves using the free bets that bookies give you to bet on both outcomes of a game. Let's say it's a football match. You use your free bet to bet that Liverpool are going to win and you use your own money to pay for a bet that says Liverpool are going to lose. Of course you have to be careful of it because the next step up is gambling and when you're on the site you might see something that is too good to be true. Last October I brought out a meal planner that I sell on Etsy. I was about to follow it up with a financial planner just before the first lockdown but I decided it wasn't the right time. My friends and family support my saving. Okay, there have been some nights out where I didn't go. All my friends are in Dublin so going out means staying somewhere and that can be quite expensive. But everything else I just save up for. I haven't really changed my lifestyle all that much, albeit there's a lot more money going to savings - and a lot less deliveries from ASOS and Amazon! Paying off the loans gave me the confidence that I can manage my money and make it grow. Had I not started I'd probably have another new car or maybe a higher credit card limit. Before I started saving, I couldn't have even told you how much I owed on credit cards or how much the broadband cost each month. Everything got paid but I never knew the exact amounts. Now it's empowering to be on top of things because then you don't have to worry. I've realised that everything in society is designed to make us spend money. We were looking at cars recently and at the moment it's hard to find the outright price because all of the car companies only tell you how much it will cost per month or per week. Everything is set up to make us part with our cash and it's hard to beat that. So you almost have to consciously do the opposite of what you're being forced to do every day."" Emer is on Instagram at @onefootinthesave 'I set myself a grocery bill budget and unfollowed a lot of influencers online because I was being influenced to part with my money and it wasn't helping matters' Graphic   Every little helps: Emer Farrell is saving now for an early retirement.PHOTO: MARK CONDREN"
7,7,/home/paultrust/Downloads/Files(415)/'I paid off almost (EURO)30k of debt in 18 months. Now I want to retire at 50';Software engineer Eme.DOCX,Daily Mirror,2021-07-13,106 words,NEWS; Pg. 23,mirror reporters,NA,'I'd hit Rocha bottom & food saved my life',FALSE,"THE son of top Irish fashion designer John Rocha has opened up about suffering depression after working for several years in the music industry. But Max said yesterday that ""food saved me"" ahead of the opening next month of his own restaurant. He is promising visitors to Cafe Cecilia in London's Hackney they will be able to enjoy the kind of hearty traditional Irish breakfast he grew up with in Dublin with fried sausage, beans, eggs and bacon on the menu. Gouda-like cheese from Cork and crab on Guinness bread will also be served at the eaterie. Max said: ""I don't want anyone to see me. I just want to cook. That's where I'm happiest."" Graphic   health fight Max Rocha"
8,8,/home/paultrust/Downloads/Files(415)/'I'd hit Rocha bottom & food saved my life'.DOCX,Irish Independent,2021-07-13,632 words,SPORT; Pg. 45,Aidan Fitzmaurice,NA,"'If we can be brave against AC Milan, we can do it against anyone'",FALSE,"THE BLOCKAGE of history stands between Shamrock Rovers and progress to the next round of the Champions League in Dublin this evening when they face up to Slovan Bratislava. In 64 years of competing in Europe, an Irish club has never managed to overturn a two-goal deficit from the first leg and progress, while the Hoops' opponents tonight have a 100pc record from their past encounters with Irish clubs, six games and six wins. Yet the Dublin club hope that recent history, and in particular a game where they put up some resistance against an AC Milan side containing the future player of the tournament at Euro 2020, Gianluigi Donnarumma, can feed positivity into their camp and keep alive hopes of a clash with Young Boys Berne in the second qualifying round. Donnarumma kept a clean sheet against Rovers in Dublin in the Europa League last year in a 2-0 win but while Rovers manager Stephen Bradley insists there's nothing to be learned from Slovan's 4-1 aggregate Europa League win over Dundalk in 2019, that 2020 meeting with Milan could point the way for the Hoops. ""They beat us 2-0 and were always expected to beat us. But what pleased me more than anything after the game was that we tried to play, as opposed to being safe,"" says Alan Mannus, Rovers' veteran goalkeeper. ""From goal-kicks, we tried to play out from the back, we tried to play rather than everybody going up the pitch and we'd go long. That was the pleasing thing for me. That's what we need to try to do tonight, to be brave. If we can try do it against AC Milan, we can do it against anybody. When we did it against AC, there were times when we got into the final third to create chances. It shows you that we can be good at it."" Membership of the Goalkeepers' Union means that even a famous figure like Donnarumma finds time to chat to his opposite number, and the Italian No 1 was complimentary when speaking to Mannus. ""I thought he was brilliant against us, the saves he made against Aaron Greene,"" Mannus said. ""We actually spoke about it afterwards, we talked a lot about when Aaron got in during the first half. He's one of the top of the top goalkeepers in the world,"" added Mannus, who predicted in advance of Sunday's Euro 2020 final that Donnarumma and Jordan Pickford would each save two penalties. A penalty save by Mannus late on in the first leg, denying Slovan's Euro 2020 star Vladimir Weiss a goal which would have made it 3-0 and would have all but ended Irish interest in the tie, was a key moment for Rovers. Penalties And penalties could come into the equation in Tallaght tonight, a game where Rovers can welcome a crowd of 1,500, as the away goal rule is no longer in place, but of course Rovers need to score twice to make that happen with the constant threat that a classy Slovan side, managed by veteran coach Vladimir Weiss, a man very familiar with Dublin from tests here with Slovakia and Georgia, score early to really kill off the tie. ""If they score, it makes it more difficult but ultimately we need to do whatever we can to get through. If they score, we've to score one extra on top of the two already,"" says Mannus. ""I don't think that if they score, we're out of it completely. We've shown already this season that we can come back from being in a bad position. We just need to do whatever it takes to get through."" They are missing one of their Euro 2020 stars, Hungary's Dávid Holman, through injury but Slovakian international Vladimir Weiss, son of the coach with the same name, could start for Slovan, whose experience in Europe last season was scarred by Covid-19: they were dumped out of the Champions League without a ball being kicked as they were unable to field a team against Faroe Islands opposition due to two Covid outbreaks and lost to Finnish opposition in the Europa League."
9,9,"/home/paultrust/Downloads/Files(415)/'If we can be brave against AC Milan, we can do it against anyone'.DOCX",Irish Independent,2021-07-13,851 words,FARMING;NEWS; Pg. 22,Martin Ryan,NA,'It's so much easier to get into dairy now'; Irish Holstein Friesian Association president PJ Kelly tells Martin Ryan how he expanded his herd from 14 cows to more than 200 despite having 'our arms tied behind our back' by quotas,FALSE,"t's so easy for people to get into milk production now compared to the late '80s"" says PJ Kelly. 'I From a base line of 14 cows, little land, no buildings and no quota when he started in dairy three decades ago, he is now milking a herd of over 200 cows, rearing all followers and home-growing the feed requirements on 400 acres near Rochfortbridge, Co Westmeath. He continues to expand his enterprise, run in partnership with his son John and daughter Emer. ""Our arms were tied behind our back - buying expensive milk quotas every year, it was very difficult to build up a herd,"" he says. Today, he is president of the Irish Holstein Friesian Association, and a judge at dairy shows at home and abroad. Bucket ""I grew up on a dairy farm at Horseleap, between Moate and Kilbeggan,"" he says. ""In the early '60s up to 25 cows were being milked by hand on the farm by my brother Tommy and my mother and myself. We all had our own cows to milk and bucket. ""Then a DeLaval bucket plant was installed which was a novelty at that time, then around 1967-68 a new six-unit parlour. We kept building cows up all the time to 40 and 50 after getting more quota from Snowcream."" PJ was sent to boarding school, doing his Leaving Cert in 1971 and then on to study at Rockwell Agricultural College, with no clear career plan in mind. ""Then it all came to me that farming was exactly what I wanted to do,"" he says, explaining that a teacher suggested the Farm Apprenticeship Scheme. For his first year in the scheme he was placed at a 180-cow dairy farm in Co Wicklow belonging to Tommy Jackson - a man ""at least 50 years ahead of his time in farming practices"". He stayed there for a second year, then moved to Denis Howard's dairy and tillage farm at Killavullen, Co Cork where he developed ""a very good knowledge of herd management, grass management and tillage"". After completing his apprenticeship, he took up a position as farm manager for John Barrett at Lenaghmore, Togher, Co Cork for three years, ""where I got the real love for pedigree cows and breeding"". Returning home to Westmeath in 1977 he was given an outfarm of 65ac at Rochfortbridge and started to develop it with some tillage crops, but his ambition was to build up a good dairy herd. ""When it came to 1984 I was snookered because the milk quota was in,"" he says. ""Cows was always what I wanted but I didn't get into cows until the later '80s when Larry Goodman had taken over Westmeath Co-op for a short period. ""There was some small amount of quota transferred from my home farm to Rochfortbridge and that gave me a start. I was then eligible to buy quota."" He started with 14 cows but he couldn't expand because of the quotas. ""I spent £180,000 ((EURO)230,000) down the years because most of the quota that I had was bought - it was hard to get and expensive. With one stroke of a pen in 2015 that was taken away,"" he says. ""We had built up slowly to match the quota we had - 20 to 30 to 40 cows and so on - because that was all that could be done."" In 1999 his son John, who had completed his college education, returned to form a partnership; they could get more quota because he was a young farmer. ""It is so much easier now because suckler farmers have stock, they have sheds, and they don't need quota to pump out all the milk they want,"" PJ says. ""I'm not begrudging them that. It is a good thing. In 2015 it suited me too to expand further. We were milking 110 cows and had a quota of 140,000 gallons."" Since 2015 land has been bought and three farms leased, bringing to area farmed to around 400ac - and the dairy herd has been doubled to over 200 cows with an average yield of 2,100 gallons. All the calves are reared on the farm. The males are kept for sale as bulls for breeding and the balance sold at 20-22 months as young bull beef, with many achieving carcase weights of 360-400 kg of O/P grade. ""We just don't like selling calves for (EURO)10-30,"" says PJ. ""At any stage if they are well done, they can be sold as stores at 380-400kg to get a good return on them."" Mostly Canadian and US bulls are used for breeding, with concentration on increasing production, with a ready market for bulls for breeding each season. ""Our customers for bulls nearly always come back for more because they are getting milk from them,"" says PJ. ""Litres of milk in the tank is what they need and I find that EBI is not a major feature."" The heifers are reared for herd replacement and expansion and sale of the surplus for breeding. Cereals A considerable acreage is now devoted to growing cereals for feeding to the herd. PJ's youngest daughter Emer, who has shown an interest in farming since she was three years old, has now joined the farm partnership, having graduated with first class honours in ag science, spending her practical year milking 1,200 cows on a farm in New Zealand. On further expansion, PJ says: ""We would probably lease land now. We find it is cheaper option to expand because land purchase is very expensive and is a very big undertaking. ""We will probably grow the herd a bit more, but I will be trying to increase yield/cow and further improve on the solids."" Graphic   Productive: PJ has more than 200 cows with an average yield of 2,100 gallonsPartnership: Pedigree breeder PJ Kelly with his daughter Emer on their farm outside Rochfortbridge, Co Westmeath; inset, one of his cows PHOTOS: JEFF HARVEYPHOTOS: JEFF HARVEY"
10,10,/home/paultrust/Downloads/Files(415)/'It's so much easier to get into dairy now';Irish Holstein Friesian Association president PJ Kelly t.DOCX,Irish Independent,2021-07-13,1083 words,"NEWS; Pg. 30,31",Tania Zorrilla,NA,'Living in our van is so much cheaper than renting in Dublin'; Tania Zorrilla (31) from Dublin left a full-time job in advertising to travel the world with her boyfriend Adam Stocker while living in their converted van,FALSE,"'My introduction to van life was kind of a pipe dream at first. I would watch videos on YouTube and think, 'Wouldn't that be an amazing thing to do one day?' Then, almost three years ago, I met Adam on Bumble. From our first date we got talking and realised that we both had dreams of living in a van. It actually turned out that he had inherited a van from his mum and he was about to go off travelling for three months around Europe. On our third date I went to visit him for 10 days in Croatia when he was doing his Europe trip, then we drove down to Montenegro. That was my first taste of van life and I just loved it. I loved the idea that everything you want and need is there, yet you can park up beside mountains, lakes or a castle. When Adam and I actually got together, we very quickly decided to do van life full-time. Then we took the steps towards making it happen. It isn't the done thing to pack up all your things and live tiny so when you find someone who is willing to go off and do something like that, you definitely click. Adam is a filmmaker and my job is in advertising. Our jobs are not the easiest to do while we're off-grid. Usually I would need to be in an office to do that job in a team, so I saved up in order to be able to afford the first year of travel, before going freelance. I also moved in with Adam before the trip so that we were saving that way as well. Our van - or Jits as we call her - is very much our home now. We went back to London after our first big year of van travel where we sublet a room to ground ourselves. We took that time to save up for our next adventure, which we're on now, and which will be another year or more. Our savings go a long way in the van. We're very good at budgeting and van life is so much cheaper than living in London, and certainly cheaper than living in Dublin where the rents are ridiculous. But that's not to say that we haven't made money while on the road. We were fortunate to get a commission for Tourism Ireland to use some of our footage and we also created a film for them. That actually paid for a full two months while we were travelling around Ireland, and it also sparked a little idea. What we would like to do now is work with tourism boards and brands that are in the same sphere so that we can be making money while we're travelling. A lot of people tell us they could never do this lifestyle because they have too much stuff. But I have come from a point where I held on to loads of clothes and a bunch of things. I found it really difficult to let go of these items and I'm constantly in that process so it hasn't been second nature to me by any stretch of the imagination. What I have realised, though, is that when you rid yourself of those material possessions, you feel a lot lighter. To be honest, that was one of the learnings from last time. We packed too much stuff and you end up wearing the same thing over and over again. That now translates to the rest of our lives and making sure we're choosing quality over quantity. We're intentional with our purchases and our time. And there is not one thing that I have donated that I miss. We get asked about our relationship a lot. I think in order to live in a small space, you need to have a certain dynamic and you need to be the sort of people who are patient, who have a sense of humour and who don't take things too seriously. You also have to be okay with planning but also with being flexible. We do our workouts separately - albeit right next to the van. And there are other ways to switch off, whether it's reading a book, or working in the office area of the van while the other is in the kitchen washing up. Adam and I are both only children. We're both very independent and we both love to be alone, but because we get each other, we never have to leave the van to get some time away. In the last couple of years there has been a surge of interest in van life, in particular because of Covid. Van life allows you to travel and I guess it's the safest way to travel because you have everything you need with you. You're completely self-contained and you don't have to worry about checking into a hotel or hostel. That was one of the major advantages when we found ourselves on a Portuguese farm for three months during lockdown. When the borders opened up again and we were allowed to travel, being in the van meant that we could 100pc avoid people and the only way we came into contact with others was when we had to fill up with petrol or pick up our groceries. If Jits doesn't last - unfortunately she has lots of rust issues - we'd love to buy a bus, convert it and have a small family and travel around in the bus. Another dream would be to get some land in Mexico and build a tiny home there. It's interesting how our life plans and trajectory have changed since living in a van. Before I met Adam, I had my heart set on being really career-focussed and working my way up the corporate ladder. And while that can 100pc bring people happiness - and in a different world that would have brought me happiness - living in a van made me realise that I love the sense of adventure. I love not knowing where I'm going to sleep the next night. You realise if there is so much beauty in one little island like Ireland, then how much more beauty is there in the rest of the world and why not prioritise that now by building it into your lifestyle versus my original plan which was 'work, work, work and then, when I retire, I'll travel'. When you look at Instagram under the hashtag 'van life', you'll see a lot of amazing photos of twenty-somethings. But there are two things to consider: first, that's Instagram and the realities of van life, like having to empty your toilets, aren't always portrayed. And second, it doesn't matter how old or how young you are. Van life is for everyone. In saying that, I think it's better to start this lifestyle sooner rather than later. Nothing is certain in life and you cannot assume that you'll live to old age - and even if you do, you may not have the energy. The most heart-warming messages we receive are from people in their 50s who have seen our videos and who tell us that they have decided not to wait until they retire - it's so inspiring."" Tania and Adam are on Instagram @jits.into.the.sunset As told to Katie Byrne 'In order to live in a small space, you need to have a certain dynamic and you need to be the sort of people who are patient, who have a sense of humour and who don't take things too seriously' Graphic   Life on the road: Tania Zorrilla and her boyfriend Adam Stocker in their van"
